gene,pLI,mis_z
DEFB105A,0.436248235,0.11032479
SPAG11A,0.039012166,0.941336911
DEFB4A,0.399812614,0.817527076
CLDN23,2.47E-05,0.159546347
SGK223,5.12E-20,-2.946170513
ZNF705B,0.652541804,2.127525842
MSRA,1.70E-06,-3.661207699
C8orf74,1.01E-11,-1.737786317
MFHAS1,2.23E-05,0.483814569
ERI1,0.000454685,-2.318513276
PPP1R3B,0.022919141,-1.08069659
PRSS55,1.23E-08,-4.609499531
XKR6,0.956776701,4.089923461
SOX7,0.131241611,-0.07999835
C8orf12,0.31126891,-0.617071474
TNKS,0.777115954,2.178096159
PINX1,4.94E-09,-4.319098613
MTMR9,0.210866149,-3.380976617
SLC35G5,0.027484635,-0.782617713
DLC1,0.992807273,-3.418228454
FAM167A,0.000192998,-2.320386388
USP17L2,0.013858726,1.226650067
GATA4,0.802155487,1.803144373
DEFB135,1.32E-06,-1.296352334
FAM86B1,0.744460341,3.41410009
NEIL2,2.11E-09,-3.105166002
DEFB136,0.034000099,-0.256125627
LONRF1,0.919751764,-0.233624465
BLK,2.86E-07,-2.165559322
FAM86B2,0.674121349,3.011449162
DEFB134,0.032237341,-2.274965072
MTUS1,1.14E-05,-8.641568222
VPS37A,0.53495834,-1.897008386
MTMR7,1.64E-09,-2.406426936
PSD3,0.851705649,-2.891943125
MICU3,3.12E-06,0.206961726
FGL1,1.87E-16,-4.332597372
SGCZ,0.001985816,-2.130916869
CNOT7,0.986495484,2.177465593
PDGFRL,4.17E-10,-3.078860601
NAT1,2.85E-10,-1.660486764
SH2D4A,1.53E-18,-3.166734158
NAT2,0.022607866,-2.557994286
ASAH1,5.36E-11,-3.5507677
SLC7A2,1.17E-08,-2.378710949
ZDHHC2,0.007033007,-1.380777535
FGF20,0.702854984,-0.163372987
MSR1,8.21E-16,-3.674815544
TUSC3,0.001898764,0.554125283
HR,2.13E-05,0.01002784
FAM160B2,2.05E-05,-1.375806817
DMTN,0.96176259,0.916527978
GFRA2,0.337127995,0.498448069
SFTPC,0.068448802,1.113892465
BMP1,0.868760693,2.296365804
LZTS1,0.525971473,1.476588111
LPL,3.34E-06,-0.753710803
LGI3,1.95E-05,0.60128312
DOK2,2.34E-06,-1.543524515
SLC18A1,1.89E-14,-4.639572498
FGF17,0.86533156,3.144739496
CSGALNACT1,6.88E-05,-2.413866237
REEP4,0.175027611,0.196297799
ATP6V1B2,0.991448563,2.346700196
NUDT18,0.000135276,0.213082537
XPO7,0.999999311,5.067063955
INTS10,0.984216595,1.309757628
NPM2,0.000671457,-0.316977576
PHYHIP,0.873268768,3.917320104
PEBP4,0.038898535,-1.514248831
SORBS3,2.31E-06,-0.582469179
ENTPD4,2.07E-11,-0.664753097
TNFRSF10D,3.28E-05,-0.23845131
POLR3D,5.66E-11,0.385787263
TNFRSF10C,1.32E-07,-2.276671209
CHMP7,0.980739997,2.223632732
RHOBTB2,0.508425068,3.294953776
CCAR2,0.960454889,0.721631277
BIN3,5.99E-06,-1.326648818
LOXL2,3.00E-07,-0.317371463
PDLIM2,0.049749311,-0.693257092
SLC39A14,0.314629296,2.100428334
TNFRSF10B,9.80E-07,-0.954155305
TNFRSF10A,3.93E-13,-0.922064627
PPP3CC,0.016624643,0.905633434
EGR3,0.811097944,4.918630774
PIWIL2,0.002483152,-1.297982531
C8orf58,7.26E-07,-1.161197347
DPYSL2,0.995558289,4.575488666
SLC25A37,0.512222995,1.260633878
CDCA2,1.61E-05,-1.751328379
STMN4,0.146519525,1.025462097
DOCK5,0.001342686,-1.981961584
EBF2,0.97196579,2.238338925
ADAMDEC1,1.76E-09,-1.025327008
NEFM,0.035956328,2.097942127
BNIP3L,0.330817931,0.446998279
NKX3-1,0.000884341,0.208224345
PNMA2,0.101076995,0.777692352
NKX2-6,0.003522543,0.830016428
ADRA1A,4.17E-07,0.926944622
STC1,0.47349905,1.720679329
ADAM7,1.74E-12,-1.434584465
KCTD9,0.073396831,3.353702367
PPP2R2A,0.959642692,3.524742006
ADAM28,1.97E-17,-1.684155058
GNRH1,0.098691606,0.100585244
ELP3,3.93E-07,1.46906238
SCARA3,1.62E-07,0.001659564
TRIM35,0.000940308,1.805805279
FBXO16,6.62E-07,-0.992803443
PNOC,0.151495123,0.402136613
CLU,0.453463613,1.91096955
EXTL3,0.061280486,2.360817688
NUGGC,1.96E-07,-0.735079796
SCARA5,0.066991777,0.696541002
HMBOX1,0.997096381,2.274233028
ESCO2,0.178963923,-0.353115573
KIF13B,0.000199447,0.857749662
CHRNA2,0.001766479,0.149075153
CCDC25,0.051834011,1.067369757
INTS9,2.00E-06,1.309088467
EPHX2,4.92E-13,-0.736129958
PBK,4.09E-05,-0.427273867
FZD3,0.275435382,2.727637598
PTK2B,0.984520871,1.371675414
ZNF395,0.819057406,0.779197347
FUT10,3.08E-07,-1.684931909
NRG1,0.947798762,0.459486918
RNF122,0.076386253,0.803443122
TMEM66,0.009701338,-0.582531196
TEX15,3.89E-17,-3.818857804
DUSP4,0.539069242,2.719090519
GTF2E2,0.008668552,0.424870732
GSR,0.012481214,0.831564391
RBPMS,0.783171944,2.153903808
WRN,1.96E-16,-1.509074515
PPP2CB,0.622505955,3.510839377
DCTN6,0.026238399,0.150588723
TTI2,0.001886337,-0.184300376
UNC5D,0.849201861,2.230982397
MAK16,0.993980456,0.059198859
LEPROTL1,0.622320079,0.905793638
PURG,0.934741137,2.828511212
DUSP26,0.003914765,1.415411615
GOT1L1,2.12E-10,-2.218464044
GPR124,0.000300881,3.178953468
PROSC,0.297119448,1.046242755
LSM1,0.931276897,0.927515352
ASH2L,0.995792116,2.670963915
RAB11FIP1,2.11E-05,-0.151137483
LETM2,1.34E-10,-0.877420529
DDHD2,3.10E-08,-0.162829899
KCNU1,3.91E-12,-2.695611502
WHSC1L1,0.999999688,3.538076488
PPAPDC1B,3.07E-07,-0.389066206
EIF4EBP1,0.184082877,0.410807479
ADRB3,0.323569934,3.025169545
BRF2,1.88E-09,-0.143500215
BAG4,0.023740903,-0.478685398
STAR,3.07E-07,0.340225772
ERLIN2,0.111582005,2.105924239
GINS4,0.050472865,0.42753306
FGFR1,0.988744285,2.798365608
ZMAT4,0.019326863,1.592229521
NKX6-3,0.190054226,0.789948555
HTRA4,2.53E-07,1.02929899
ADAM9,0.828249261,1.661178195
SFRP1,0.465845742,1.633518251
IDO2,9.40E-06,-2.105384556
AGPAT6,0.446180355,2.568205672
ADAM32,1.17E-08,-1.234325542
C8orf4,0.0652715,-0.368701048
ADAM2,7.21E-14,-2.105765189
IDO1,1.42E-05,-1.210326945
TM2D2,0.071028872,0.196895482
GOLGA7,0.691723361,1.450528388
PLEKHA2,0.363909174,1.05414554
ADAM18,1.53E-19,-2.451194024
C8orf86,6.35E-05,-0.12850575
TACC1,0.015120874,-0.591312901
ANK1,1,2.571870078
SMIM19,0.323327861,-0.230322375
SPIDR,1.07E-14,-1.572739435
PLAT,0.00019718,0.078178717
CEBPD,0.540717582,3.36072268
IKBKB,0.998786699,2.901074918
CHRNB3,0.000131863,0.450342495
FNTA,0.988212602,0.3074787
PRKDC,1,0.027058743
POLB,0.000157164,1.942755169
VDAC3,0.970696229,0.170649322
SLC20A2,0.86442958,3.029881201
RNF170,0.648136151,0.764428632
HGSNAT,1.44E-06,-0.524577835
KAT6A,0.999999985,2.141541503
CHRNA6,2.04E-06,-0.412452567
POMK,0.000523312,-0.585447595
THAP1,0.899169328,1.347004087
HOOK3,0.999998005,1.692299161
DKK4,0.02137976,-0.105007127
AP3M2,4.40E-05,1.333139112
SNAI2,0.871690015,1.239456106
UBE2V2,0.108879326,1.393537368
PCMTD1,2.56E-06,-0.330608066
FAM150A,0.001845521,0.420504924
RGS20,0.016215258,1.599928724
EFCAB1,0.000635898,-0.762112624
ST18,0.999009548,-0.87109459
MRPL15,1.34E-05,0.522695258
LYPLA1,0.008494426,0.893476715
ATP6V1H,3.86E-05,0.44674133
OPRK1,0.018815519,0.815157811
SNTG1,0.037927565,-1.093865992
TCEA1,0.342254929,1.449197925
MCM4,0.000301842,0.230995414
NPBWR1,0.000132407,1.281888324
PXDNL,1.94E-27,-0.716973389
RB1CC1,0.999999799,-0.070378825
C8orf22,0.375401959,-1.047908628
RPS20,0.686321059,2.01412709
XKR4,0.97759169,3.208103198
IMPAD1,0.327579022,1.022970584
CYP7A1,0.003455361,-0.640129562
TGS1,1.02E-07,-2.368281561
FAM110B,0.172625631,2.550007304
SDR16C5,0.00291744,-1.020738574
UBXN2B,0.487567803,-0.519475695
TMEM68,0.01693697,0.990277597
RP1,3.68E-10,-3.226007554
SDCBP,0.000811572,0.561802879
PLAG1,0.829917236,2.033229101
PENK,2.76E-05,0.191149153
CHCHD7,0.387975837,-0.825043027
NSMAF,3.18E-08,0.474653146
MOS,0.149307838,2.374630127
LYN,0.995480464,3.578068613
SOX17,0.866918773,3.251504106
CA8,0.783927467,1.28448555
RRS1,0.551023834,1.882998977
CHD7,1,1.921514859
NKAIN3,0.010179443,0.833131013
CLVS1,0.853643445,1.192051106
YTHDF3,0.975545265,2.105347625
ARMC1,0.876351937,1.340578957
ADHFE1,3.88E-05,-1.058874354
CYP7B1,2.14E-06,-0.704789829
TRIM55,0.000207996,-1.472744081
CRH,0.527789353,2.852067586
RAB2A,0.970735513,3.159896886
DNAJC5B,0.009677585,0.044619002
TOX,0.892971025,0.747978541
BHLHE22,0.677980337,3.347417846
ASPH,1.02E-08,-1.716758862
MTFR1,2.18E-05,-0.347373771
TTPA,0.009884316,-0.070304103
PDE7A,0.192057714,1.410109013
GGH,0.578462955,-0.455012416
C8orf46,0.639231508,1.122632499
PREX2,1.01E-10,1.364796803
C8orf44-SGK3,0.136791141,1.286078052
CPA6,1.70E-09,-1.487834638
PRDM14,0.968775953,2.597442952
CSPP1,3.28E-13,-0.489569975
MYBL1,0.998332687,0.581379099
SULF1,0.879274683,1.160428297
C8orf44,0.016940286,-0.317477281
ARFGEF1,0.999999909,4.734401093
C8orf34,9.85E-06,-0.087487686
SLCO5A1,1.52E-05,1.158101456
VCPIP1,0.999341018,3.632272876
MCMDC2,5.69E-06,-0.806850845
SGK3,0.13683256,1.28635752
NCOA2,0.999997382,1.071397003
COPS5,0.994339561,3.299825791
PPP1R42,0.012746531,0.133609819
TRAM1,0.676696974,1.059838329
TRPA1,9.97E-23,-0.557623874
KCNB2,0.954615847,2.867914744
STAU2,0.95043919,0.5955114
RDH10,0.934320139,3.773298297
SBSPON,5.95E-05,0.410414603
XKR9,3.61E-08,-3.407790757
LACTB2,0.000281761,-1.225273128
UBE2W,0.954557961,1.220398188
TMEM70,0.003240983,0.332484517
TERF1,0.87803358,-0.097267583
MSC,0.673682721,2.364869234
LY96,2.41E-06,-0.341027647
RP11-383H13.1,0.041046596,1.531098173
TCEB1,0.643993932,2.027395736
RPL7,0.991153032,1.578575203
EYA1,0.95570457,0.436396444
MRPS28,0.00035548,-0.209184149
FABP5,0.095838201,-1.215301247
ZC2HC1A,0.811433032,-0.441304054
PKIA,0.254973076,0.320968153
HNF4G,0.54463419,0.137667443
CRISPLD1,0.000148412,0.212620359
HEY1,0.91610473,1.678669977
IL7,0.879873742,0.020153798
ZBTB10,0.881586183,3.143993862
ZFHX4,0.999999642,-0.048424364
PEX2,0.055556481,-0.850582696
ZNF704,0.972642497,2.29438341
PAG1,0.010837278,0.424290299
STMN2,0.932287578,1.975034695
GDAP1,0.000184529,1.327963161
TPD52,0.005112083,0.385425618
PI15,0.004309392,1.296021951
JPH1,0.706129633,2.452433246
PMP2,0.033981701,-0.246567383
LRRCC1,5.40E-19,-1.062782752
FABP9,0.000340177,-0.755736367
IMPA1,0.017536006,-0.282077963
CA13,0.000339444,-0.662297696
FABP4,0.004925642,0.064427656
CA3,4.69E-05,-0.103783283
RALYL,0.029690036,0.186330194
SLC10A5,0.000395027,-2.338673419
CA1,3.77E-05,-1.102896328
CHMP4C,0.00183041,-0.728746551
E2F5,0.026329098,0.974399712
FABP12,0.00294557,-1.330342052
ZFAND1,0.000588041,-1.0239478
CA2,0.100369923,0.425496538
C8orf59,0.042725949,-0.462433607
SNX16,4.22E-08,0.363084991
TMEM64,0.157412876,3.145708937
MMP16,0.916974084,3.522864781
PSKH2,1.74E-07,-0.782643238
NECAB1,0.377811814,0.873897749
TMEM55A,0.021990365,0.641526185
DECR1,1.67E-05,-0.950910676
CNGB3,8.86E-11,-2.098614827
NBN,1.74E-10,-0.991762734
RIPK2,0.554263286,1.639473306
RMDN1,8.91E-07,-0.756477398
SLC7A13,4.71E-15,-2.637713505
OSGIN2,0.988642484,1.119734034
CNBD1,2.82E-10,-2.819847378
OTUD6B,6.26E-08,-1.445176841
CPNE3,5.16E-13,-2.176951887
CALB1,0.898924669,1.33975788
WWP1,0.956844284,2.31390606
ATP6V0D2,2.37E-08,-1.427286997
DCAF4L2,0.001649444,0.302747631
INTS8,0.989948635,1.153533142
GEM,6.13E-06,-0.338829841
RUNX1T1,0.999121688,3.055081513
RBM12B,0.120424619,0.349725432
KIAA1429,0.999441599,2.114166487
FAM92A1,3.69E-05,-0.127889089
CDH17,2.81E-06,-1.133126859
RAD54B,8.51E-10,-0.832336214
TMEM67,1.21E-17,-0.47571003
SLC26A7,3.32E-08,-0.48798396
DPY19L4,1.51E-15,-0.454359499
PDP1,0.340047358,1.076540135
ESRP1,0.999134057,2.276413216
NDUFAF6,2.91E-05,0.012173131
NIPAL2,5.79E-06,-0.107769012
CPQ,7.30E-10,-0.326775296
POP1,2.42E-08,0.248465273
C8orf37,0.00218443,0.076920116
RPL30,0.774790168,2.11624535
MATN2,7.29E-09,0.295527277
UQCRB,0.206960118,-0.34295288
PTDSS1,0.857749192,2.466586694
LAPTM4B,3.43E-05,0.742449844
SDC2,0.579949601,0.35406606
CCNE2,0.338179976,0.824764317
MTDH,0.721809341,1.071101541
TP53INP1,6.86E-05,-0.52922707
C8orf47,0.000337507,-0.955906206
PLEKHF2,0.749566017,1.682425383
TSPYL5,0.852598058,2.480548962
GDF6,0.910386172,3.457078867
MTERFD1,8.34E-06,-1.455376399
HRSP12,0.281991269,-0.561735166
NCALD,0.817423495,1.670785217
RGS22,1.19E-20,-1.575628514
RNF19A,0.027076096,1.683022513
YWHAZ,0.817170005,3.445651901
VPS13B,9.81E-27,-0.837274295
POLR2K,0.011778252,0.442779136
GRHL2,0.999880613,1.356666506
ZNF706,0.216281952,1.503665472
PABPC1,0.999692443,5.479423411
STK3,5.74E-09,0.91411957
UBR5,1,6.534845518
RRM2B,0.157235868,1.018231626
FBXO43,0.000150255,-0.812374014
KCNS2,0.528896631,2.444208511
ANKRD46,0.918715846,1.897578966
SPAG1,2.33E-07,-0.141357507
OSR2,0.566682209,2.452556158
COX6C,0.230650731,-0.296509633
SNX31,1.96E-10,-0.720211945
ABRA,4.06E-06,-0.86903123
ATP6V1C1,0.142543168,1.541309666
CTHRC1,0.008180662,0.131220362
KLF10,0.003421767,0.482650013
OXR1,0.48853443,-0.631600519
SLC25A32,7.69E-07,0.789828616
ZFPM2,0.999955694,-0.819201738
DCAF13,6.93E-05,-0.403205931
ANGPT1,0.993331324,1.252239796
LRP12,0.969751549,0.634509313
AZIN1,0.991669447,0.94015654
DCSTAMP,0.001345266,-0.761692802
DPYS,9.90E-08,-0.176342732
BAALC,5.02E-05,-0.227245663
ODF1,0.417383751,0.381024228
RIMS2,0.999998399,0.077357045
FZD6,8.03E-08,0.706074657
SLC30A8,1.80E-09,-1.072019039
RAD21,0.999544949,2.759476243
CSMD3,0.999999996,-0.11620363
ENY2,0.797810082,1.410258306
TMEM74,0.000331226,-0.117085187
EIF3E,0.734231962,2.927545668
NUDCD1,3.84E-06,-0.458130715
TRHR,0.265021781,0.360100956
EIF3H,0.46505125,0.305488299
EMC2,8.61E-05,0.472539907
SYBU,0.005953429,0.808855876
EBAG9,0.717057363,0.581493897
UTP23,0.033108947,0.340376817
TRPS1,0.990109018,1.143480978
AARD,0.328326488,0.762163006
KCNV1,0.778125704,4.873085257
PKHD1L1,9.13E-65,-4.212315646
RSPO2,0.69114045,-0.146310335
TBC1D31,1.34E-09,-1.134527172
DEPTOR,0.000777356,-0.091038366
DSCC1,0.022718626,0.476122841
SAMD12,0.001317243,-0.51103566
COL14A1,0.001367918,0.37638759
DERL1,0.011588669,0.708782816
MAL2,0.458862108,0.476987818
ENPP2,0.006828198,0.453823663
EXT1,0.999320485,2.36207242
MTBP,1.71E-07,-0.133025645
NOV,0.113896789,0.363546592
COLEC10,0.098536735,-0.929097729
MRPL13,7.02E-07,-0.16921486
TAF2,0.56608706,2.056936834
MED30,0.60654151,1.244739666
SNTB1,0.618933425,-0.23135152
TNFRSF11B,0.27222944,0.668411413
ZHX2,0.408482949,0.96840717
HAS2,0.994245616,2.708158829
SQLE,0.91297068,0.470356779
WDYHV1,0.000384005,-0.70972577
FAM91A1,0.515693527,2.004476195
ATAD2,0.999997953,0.789077671
FAM83A,0.002865746,0.959356528
ZNF572,0.000651451,-0.660411213
KIAA0196,4.81E-13,0.779031992
MTSS1,0.999823848,1.497296886
FER1L6,8.00E-30,-0.854434343
FBXO32,0.972568188,1.9620887
KLHL38,3.94E-06,-1.512999071
ZHX1-C8ORF76,0.001052031,-1.078303752
TMEM65,0.594652549,2.010682472
TATDN1,1.73E-08,-1.831438434
C8orf76,1.72E-05,-0.914801086
RNF139,0.060873833,2.22983415
TRMT12,0.942425529,0.437913572
NDUFB9,0.042889447,0.308551923
ZHX1,0.821482967,0.835173499
ANXA13,0.007256523,-0.16763225
EFR3A,0.009266191,-1.17486029
TRIB1,0.606587657,1.259613603
FAM49B,0.996856902,3.012309411
SLA,0.72295317,0.325791307
ASAP1,0.999983091,2.756873225
TMEM71,4.17E-10,-0.981933008
NDRG1,0.053823241,0.832745128
WISP1,0.00332828,-0.142630693
GSDMC,9.35E-12,-1.979264933
FAM84B,0.015691006,2.781872935
LRRC6,8.30E-08,-0.783518373
POU5F1B,7.27E-07,-1.043292241
OC90,8.17E-09,-3.545840381
NSMCE2,0.072450721,0.544682487
ADCY8,0.002985662,2.52228931
TG,2.63E-29,-2.104464502
KCNQ3,0.985604294,2.859649743
PHF20L1,0.999911984,1.776906587
GPR20,0.3150686,0.794631795
TSNARE1,3.60E-07,-1.043978461
KHDRBS3,0.868289437,0.693660735
PTP4A3,0.127669884,1.621960751
COL22A1,8.26E-32,-1.293357441
SLC45A4,0.00458961,1.283184471
ZFAT,0.002928673,0.964071347
FAM135B,0.999998682,0.139531216
TRAPPC9,5.76E-06,1.636582179
ARC,0.920765734,4.104679664
KCNK9,0.126993746,4.139928906
DENND3,0.017173033,2.586177009
ST3GAL1,0.593559246,1.46308422
BAI1,0.999875311,5.362871792
PTK2,0.999992958,2.764356028
AGO2,0.999992249,7.696140897
CHRAC1,0.658094861,-0.978881042
GLI4,0.001021287,1.6083558
C8orf31,1.09E-05,0.911602062
LY6H,0.460605569,0.691491581
TOP1MT,1.63E-19,0.208650801
LYPD2,0.063302205,-0.022180467
ZNF696,0.005979722,0.962654828
LY6D,0.000620135,-0.080078442
GML,0.439134842,-0.027664924
CYP11B1,0.001433932,-0.748434665
GPIHBP1,0.023780963,-0.06745669
CYP11B2,3.93E-13,0.48129421
LY6E,0.733420182,0.834645683
THEM6,0.02427983,2.064901929
ZFP41,0.000671958,-0.685933628
RHPN1,1.30E-06,-1.102225843
LY6K,0.000583632,-0.466984577
PSCA,0.008948427,-1.060200229
SLURP1,0.328314103,0.283266534
LYNX1,0.110678246,0.246676418
PUF60,0.849324855,4.507159339
PARP10,0.002911316,0.949377131
FAM83H,0.88482471,1.902224231
ZNF623,0.094197002,0.782630552
EPPK1,4.95E-21,-2.731578168
MAPK15,1.29E-16,-2.311860578
ZC3H3,0.964538765,-0.38522464
EEF1D,0.394239744,-0.42109228
PLEC,0.024936271,-0.384941622
PYCRL,0.017128414,0.212416995
GSDMD,4.81E-07,-0.203226167
MROH6,1.27E-10,-0.447178958
ZNF707,0.012770085,0.42577971
TSTA3,0.004991924,-0.260692222
NRBP2,0.002412945,0.056675194
SCRIB,0.913273181,-0.780588654
NAPRT1,9.84E-13,-1.045104182
TIGD5,0.000172429,3.840981053
DGAT1,2.90E-10,0.672128305
SCRT1,0.294251147,4.924279436
SHARPIN,0.019887336,-0.037357812
GRINA,0.757342473,0.879656918
SPATC1,3.59E-08,-0.779393363
CYC1,0.979014368,0.63829619
MAF1,0.79402458,2.001602511
TMEM249,0.341068399,0.225738666
OPLAH,2.99E-11,0.023005194
BOP1,0.526839489,0.15817017
MROH1,0.587142255,0.363878635
HSF1,0.586374295,0.539767315
EXOSC4,0.099450175,1.333083211
GPAA1,2.89E-07,1.220095768
ZNF251,3.06E-06,-0.155575366
ADCK5,0.908275225,2.130231347
FOXH1,0.013291196,-1.503826159
LRRC14,0.006652734,1.845167712
VPS28,0.115974874,0.773204036
FBXL6,3.70E-06,0.34525833
PPP1R16A,0.047670337,-0.265826668
C8orf82,0.006667633,2.207364327
ZNF34,0.246110578,0.76335472
CPSF1,0.001104454,3.522403978
LRRC24,0.775315502,1.154542414
ARHGAP39,0.001681796,3.505942606
KIFC2,0.001340579,0.051681479
SLC39A4,0.005737361,-0.345021891
SLC52A2,0.011960005,-0.455589443
TONSL,6.06E-05,-0.371107773
GPT,2.84E-15,-1.078472247
MFSD3,2.02E-08,-0.189149929
CYHR1,0.053830788,-0.308288187
ZNF16,4.59E-12,-0.927248221
ZNF517,2.01E-05,0.769192764
ZNF250,0.067619888,1.685112934
RPL8,0.932693413,3.075358047
COMMD5,0.000302003,-0.1324613
C8orf33,6.35E-05,-0.120434753
ZNF7,0.000238234,-0.978813341
CDC37L1,0.935601046,-0.178953454
SMARCA2,0.999998264,5.565745427
C9orf66,0.000775174,-0.245167759
DMRT2,0.460939428,-3.138908944
AK3,5.63E-05,-2.297461535
GLIS3,0.000100597,-2.689574078
DMRT3,0.001373452,-0.862852718
DOCK8,0.000135434,-2.77996008
SLC1A1,0.001271167,-1.671508885
CBWD1,0.642141452,3.286246755
PPAPDC2,0.810402577,1.185762578
DMRT1,0.68359281,0.153756855
RFX3,0.999773274,4.058785395
KCNV2,6.27E-17,-2.918124108
RCL1,0.948080583,-0.978342968
SPATA6L,1.92E-11,-3.567298868
VLDLR,0.000865741,-0.718908622
KIAA0020,1.66E-14,-4.23208229
MLANA,1.08E-08,0.232002344
RANBP6,0.04174251,-1.110223169
TMEM261,0.00077764,0.110610186
INSL4,2.06E-05,-2.308560719
CD274,0.004681603,1.134847335
UHRF2,0.999646144,3.599512099
KIAA1432,0.80423337,-1.151304996
RLN2,5.04E-05,-0.485329921
TPD52L3,0.163388307,-1.637578839
PLGRKT,8.36E-08,-1.916582461
INSL6,4.57E-05,-2.443555074
ERMP1,4.55E-05,-1.065791434
IL33,1.05E-08,-2.160934885
GLDC,4.88E-14,-1.812119667
KDM4C,0.000758735,-2.000592876
PDCD1LG2,0.000429826,-1.12943098
RLN1,0.000528757,-0.519142157
JAK2,0.969034927,0.185932192
PTPRD,0.999999982,-0.314119349
PSIP1,0.946350058,-0.229958537
HAUS6,6.61E-10,-2.308801132
ZDHHC21,0.051230379,-0.101748102
TTC39B,1.07E-11,-1.376091881
FAM154A,2.67E-18,-3.751108792
TYRP1,4.48E-21,-3.420552359
LURAP1L,0.076624269,-1.125374805
ADAMTSL1,8.83E-05,-1.775102866
SNAPC3,5.54E-05,-1.632464889
BNC2,0.999465645,0.279036317
NFIB,0.990809167,2.913479296
SH3GL2,0.916295307,1.024788574
CER1,2.58E-05,-2.305866284
RRAGA,0.291376609,4.241553747
FOCAD,5.37E-16,-5.974446386
PLIN2,1.20E-05,-1.443964804
SLC24A2,0.035059826,-0.550770851
RPS6,0.789114983,2.00421957
MLLT3,0.99559105,1.614670395
DENND4C,0.406967594,-2.533864819
IFNW1,0.006165915,-2.089665652
PTPLAD2,0.004432755,-0.939151873
IFNA17,0.007025822,-1.253780425
ACER2,0.146646887,-0.420572878
IFNA5,0.006836061,-3.080065553
IFNA10,0.001872534,-0.326230252
IFNB1,0.013694438,-1.752232468
IFNA21,8.63E-08,-1.228161047
IFNA16,0.006569869,-2.728894185
KLHL9,0.988339535,1.624908813
IFNA4,0.240444347,1.153269718
IFNA7,9.02E-05,-0.82847366
IFNA6,0.000913991,-1.725897847
MTAP,0.000179316,-0.270773255
CDKN2A,0.357648776,1.057713641
PLAA,0.648657498,0.755584084
EQTN,1.33E-07,-2.378994052
IFNE,8.79E-07,-1.36194777
CDKN2B,0.281057557,0.961696801
CAAP1,0.708931875,-0.194791177
IFNA13,0.711459503,2.564603662
TUSC1,0.324671553,1.604881015
TEK,0.999992784,1.19126683
IFNA8,2.12E-06,-1.660663971
MOB3B,0.030377777,0.91560099
LRRC19,5.17E-05,-1.481681556
DMRTA1,8.39E-05,-0.058445518
ELAVL2,0.972927704,1.544877808
IFNA2,0.044589404,-2.214319649
IFNA1,0.711485384,2.544726855
IFT74,9.27E-06,-2.401727384
B4GALT1,0.486324788,1.729435204
NDUFB6,0.047218448,-0.318258782
DDX58,1.09E-14,-0.554984217
SMU1,0.998978044,4.414503754
TAF1L,0.119270692,-0.469196221
ACO1,3.57E-08,0.606688712
NOL6,0.999078032,0.327603412
APTX,7.73E-06,-0.847463226
IFNK,9.61E-09,-1.802002972
SPINK4,0.713655356,-0.348780264
NFX1,0.386441239,0.264795266
AQP7,1.86E-09,0.000578957
TOPORS,0.975842587,1.380192384
CHMP5,0.259054927,0.688412284
LINGO2,0.807167304,-0.106107135
TMEM215,0.008215827,0.470617331
AQP3,0.504827505,1.25969679
C9orf72,0.000715132,-0.266371634
DNAJA1,0.260111369,1.43124518
UBE2R2,0.908519449,2.941155986
ARID3C,6.79E-07,0.623868442
GALT,0.001190739,2.085412139
KIF24,7.56E-14,-1.568265411
DCAF12,0.003485564,1.510065185
C9orf24,1.69E-05,0.547326369
DCTN3,0.020223962,0.603389595
NUDT2,0.002367748,0.902875679
PRSS3,4.80E-10,0.35536065
UBAP1,0.952984527,-0.484198385
SIGMAR1,0.125068129,2.157557217
RPP25L,0.834923219,0.961428467
FAM219A,0.272603036,2.486444463
CNTFR,0.906207075,1.251684292
UBAP2,0.98950935,-1.354501659
ENHO,0.113449546,0.407356248
DNAI1,0.000127344,-0.485225308
ANKRD18B,0.007480147,-1.501797701
IL11RA,3.74E-17,0.303253073
KIAA1161,5.13E-10,2.938939802
CCL21,0.110386514,-0.18910692
RUSC2,0.99997732,0.046503834
TESK1,0.999003535,2.279979447
CCL19,0.317197583,0.704385091
STOML2,0.529200678,2.883564886
FAM214B,0.387716111,0.422157615
FANCG,9.75E-09,0.380460158
UNC13B,6.60E-05,0.508796055
SIT1,0.035413132,0.189141518
FAM166B,3.85E-06,-0.895655119
C9orf131,3.48E-13,-3.380964588
VCP,0.999992047,6.465225358
KIAA1045,0.89227122,1.248686396
CCL27,0.016889411,-0.37426157
CD72,0.956612026,0.338027035
PIGO,1.13E-06,-0.145318031
DNAJB5,0.491267707,3.415893162
TLN1,1,5.13327015
CREB3,8.87E-07,-0.232337137
HINT2,0.000235168,-0.012068757
MSMP,0.443121281,-0.472631713
NPR2,0.991660782,4.219216296
GBA2,4.79E-09,1.158352835
FAM221B,4.05E-06,-0.653342856
GLIPR2,0.000501677,0.578785781
SPAG8,2.75E-07,0.38907008
CCDC107,1.70E-07,0.42304279
CA9,4.39E-07,-0.087143796
HRCT1,0.15829062,-1.088012191
RGP1,1.51E-05,0.127287344
TMEM8B,0.001307689,2.114948845
OR2S2,0.000575667,-0.777656974
TPM2,4.59E-05,2.988563158
OR13J1,1.01E-05,-0.438519728
RECK,0.000196798,0.584182292
CCIN,0.010492041,0.841875292
ARHGEF39,2.22E-08,0.589237148
MELK,1.87E-08,-0.486828124
