"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0048598~embryonic morphogenesis"	-0.182395482110731	1	213	15	0
"GO:0001649~osteoblast differentiation"	-0.182395482110731	1	213	51	0
"GO:0002053~positive regulation of mesenchymal cell proliferation"	-0.182395482110731	1	213	36	0
"GO:0048557~embryonic digestive tract morphogenesis"	-0.182395482110731	1	213	18	0
"GO:0030326~embryonic limb morphogenesis"	-0.182395482110731	1	213	60	0
"GO:0007274~neuromuscular synaptic transmission"	-0.182395482110731	1	213	15	0
"GO:0006941~striated muscle contraction"	-0.182395482110731	1	213	16	0
"GO:0006120~mitochondrial electron transport, NADH to ubiquinone"	-0.182395482110731	1	213	43	0
"GO:0072593~reactive oxygen species metabolic process"	-0.182395482110731	1	213	27	0
"GO:0051602~response to electrical stimulus"	-0.182395482110731	1	213	25	0
"GO:0009060~aerobic respiration"	-0.182395482110731	1	213	18	0
"GO:0055093~response to hyperoxia"	-0.182395482110731	1	213	24	0
"GO:0015986~ATP synthesis coupled proton transport"	-0.182395482110731	1	213	16	0
"GO:0042776~mitochondrial ATP synthesis coupled proton transport"	-0.182395482110731	1	213	15	0
"GO:0010243~response to organic nitrogen"	-0.182395482110731	1	213	38	0
"GO:0051925~regulation of calcium ion transport via voltage-gated calcium channel activity"	-0.182395482110731	1	213	36	0
"GO:0007214~gamma-aminobutyric acid signaling pathway"	-0.182395482110731	1	213	21	0
"GO:0035249~synaptic transmission, glutamatergic"	-0.182395482110731	1	213	24	0
"GO:0007528~neuromuscular junction development"	-0.182395482110731	1	213	26	0
"GO:0042391~regulation of membrane potential"	-0.182395482110731	1	213	46	0
"GO:0007628~adult walking behavior"	-0.182395482110731	1	213	30	0
"GO:0006821~chloride transport"	-0.182395482110731	1	213	57	0
"GO:0016197~endosome transport"	-0.182395482110731	1	213	51	0
"GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway"	-0.182395482110731	1	213	35	0
"GO:0030866~cortical actin cytoskeleton organization"	-0.182395482110731	1	213	17	0
"GO:0016043~cellular component organization"	-0.182395482110731	1	213	14	0
"GO:0006385~transcription elongation from RNA polymerase III promoter"	-0.182395482110731	1	213	18	0
"GO:0006386~termination of RNA polymerase III transcription"	-0.182395482110731	1	213	18	0
"GO:0032465~regulation of cytokinesis"	-0.182395482110731	1	213	11	0
"GO:0030099~myeloid cell differentiation"	-0.182395482110731	1	213	22	0
"GO:0045668~negative regulation of osteoblast differentiation"	-0.182395482110731	1	213	37	0
"GO:0001707~mesoderm formation"	-0.182395482110731	1	213	30	0
"GO:0030900~forebrain development"	-0.182395482110731	1	213	77	0
"GO:0030514~negative regulation of BMP signaling pathway"	-0.182395482110731	1	213	30	0
"GO:0051603~proteolysis involved in cellular protein catabolic process"	-0.182395482110731	1	213	33	0
"GO:0016266~O-glycan processing"	-0.182395482110731	1	213	51	0
"GO:0043687~post-translational protein modification"	-0.182395482110731	1	213	167	0
"GO:0006493~protein O-linked glycosylation"	-0.182395482110731	1	213	21	0
"GO:0030282~bone mineralization"	-0.182395482110731	1	213	29	0
"GO:0042476~odontogenesis"	-0.182395482110731	1	213	34	0
"GO:0030317~sperm motility"	-0.182395482110731	1	213	32	0
"GO:0006813~potassium ion transport"	-0.182395482110731	1	213	99	0
"GO:0031668~cellular response to extracellular stimulus"	-0.182395482110731	1	213	19	0
"GO:0010035~response to inorganic substance"	-0.182395482110731	1	213	21	0
"GO:0001975~response to amphetamine"	-0.182395482110731	1	213	29	0
"GO:0008344~adult locomotory behavior"	-0.182395482110731	1	213	43	0
"GO:0071542~dopaminergic neuron differentiation"	-0.182395482110731	1	213	11	0
"GO:0033554~cellular response to stress"	-0.182395482110731	1	213	13	0
"GO:0042551~neuron maturation"	-0.182395482110731	1	213	10	0
"GO:0043401~steroid hormone mediated signaling pathway"	-0.182395482110731	1	213	56	0
"GO:0021953~central nervous system neuron differentiation"	-0.182395482110731	1	213	12	0
"GO:0042417~dopamine metabolic process"	-0.182395482110731	1	213	14	0
"GO:0048535~lymph node development"	-0.182395482110731	1	213	13	0
"GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway"	-0.182395482110731	1	213	85	0
"GO:0048546~digestive tract morphogenesis"	-0.182395482110731	1	213	18	0
"GO:0001655~urogenital system development"	-0.182395482110731	1	213	16	0
"GO:0031290~retinal ganglion cell axon guidance"	-0.182395482110731	1	213	17	0
"GO:0051965~positive regulation of synapse assembly"	-0.182395482110731	1	213	20	0
"GO:0060021~palate development"	-0.182395482110731	1	213	63	0
"GO:0008156~negative regulation of DNA replication"	-0.182395482110731	1	213	22	0
"GO:0031424~keratinization"	-0.182395482110731	1	213	33	0
"GO:0009408~response to heat"	-0.182395482110731	1	213	56	0
"GO:0071277~cellular response to calcium ion"	-0.182395482110731	1	213	24	0
"GO:0006024~glycosaminoglycan biosynthetic process"	-0.182395482110731	1	213	12	0
"GO:0007015~actin filament organization"	-0.182395482110731	1	213	37	0
"GO:0001763~morphogenesis of a branching structure"	-0.182395482110731	1	213	11	0
"GO:0030155~regulation of cell adhesion"	-0.182395482110731	1	213	41	0
"GO:0050830~defense response to Gram-positive bacterium"	-0.182395482110731	1	213	40	0
"GO:0016045~detection of bacterium"	-0.182395482110731	1	213	14	0
"GO:0032689~negative regulation of interferon-gamma production"	-0.182395482110731	1	213	23	0
"GO:0010043~response to zinc ion"	-0.182395482110731	1	213	29	0
"GO:0042742~defense response to bacterium"	-0.182395482110731	1	213	89	0
"GO:0031640~killing of cells of other organism"	-0.182395482110731	1	213	13	0
"GO:0050832~defense response to fungus"	-0.182395482110731	1	213	19	0
"GO:0032868~response to insulin stimulus"	-0.182395482110731	1	213	68	0
"GO:0009749~response to glucose stimulus"	-0.182395482110731	1	213	74	0
"GO:0046676~negative regulation of insulin secretion"	-0.182395482110731	1	213	26	0
"GO:0019915~lipid storage"	-0.182395482110731	1	213	16	0
"GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"	-0.182395482110731	1	213	30	0
"GO:0002526~acute inflammatory response"	-0.182395482110731	1	213	13	0
"GO:0070374~positive regulation of ERK1 and ERK2 cascade"	-0.182395482110731	1	213	83	0
"GO:0090026~positive regulation of monocyte chemotaxis"	-0.182395482110731	1	213	12	0
"GO:0050829~defense response to Gram-negative bacterium"	-0.182395482110731	1	213	16	0
"GO:0060037~pharyngeal system development"	-0.182395482110731	1	213	15	0
"GO:0007368~determination of left/right symmetry"	-0.182395482110731	1	213	46	0
"GO:0001755~neural crest cell migration"	-0.182395482110731	1	213	33	0
"GO:0030509~BMP signaling pathway"	-0.182395482110731	1	213	55	0
"GO:0060389~pathway-restricted SMAD protein phosphorylation"	-0.182395482110731	1	213	13	0
"GO:0030501~positive regulation of bone mineralization"	-0.182395482110731	1	213	28	0
"GO:0009968~negative regulation of signal transduction"	-0.182395482110731	1	213	21	0
"GO:0030278~regulation of ossification"	-0.182395482110731	1	213	11	0
"GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway"	-0.182395482110731	1	213	11	0
"GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation"	-0.182395482110731	1	213	28	0
"GO:0032924~activin receptor signaling pathway"	-0.182395482110731	1	213	11	0
"GO:0007498~mesoderm development"	-0.182395482110731	1	213	36	0
"GO:0001837~epithelial to mesenchymal transition"	-0.182395482110731	1	213	30	0
"GO:0006631~fatty acid metabolic process"	-0.182395482110731	1	213	59	0
"GO:0009116~nucleoside metabolic process"	-0.182395482110731	1	213	16	0
"GO:0006206~pyrimidine base metabolic process"	-0.182395482110731	1	213	24	0
"GO:0046135~pyrimidine nucleoside catabolic process"	-0.182395482110731	1	213	12	0
"GO:0040008~regulation of growth"	-0.182395482110731	1	213	55	0
"GO:0070936~protein K48-linked ubiquitination"	-0.182395482110731	1	213	34	0
"GO:0070534~protein K63-linked ubiquitination"	-0.182395482110731	1	213	21	0
"GO:0050776~regulation of immune response"	-0.182395482110731	1	213	110	0
"GO:0050900~leukocyte migration"	-0.182395482110731	1	213	108	0
"GO:0007157~heterophilic cell-cell adhesion"	-0.182395482110731	1	213	27	0
"GO:0016042~lipid catabolic process"	-0.182395482110731	1	213	69	0
"GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway"	-0.182395482110731	1	213	37	0
"GO:0009950~dorsal/ventral axis specification"	-0.182395482110731	1	213	15	0
"GO:0032091~negative regulation of protein binding"	-0.182395482110731	1	213	22	0
"GO:0023019~signal transduction involved in regulation of gene expression"	-0.182395482110731	1	213	18	0
"GO:0022008~neurogenesis"	-0.182395482110731	1	213	34	0
"GO:0050796~regulation of insulin secretion"	-0.182395482110731	1	213	79	0
"GO:0030902~hindbrain development"	-0.182395482110731	1	213	22	0
"GO:0043010~camera-type eye development"	-0.182395482110731	1	213	55	0
"GO:0045165~cell fate commitment"	-0.182395482110731	1	213	47	0
"GO:0008542~visual learning"	-0.182395482110731	1	213	35	0
"GO:0030307~positive regulation of cell growth"	-0.182395482110731	1	213	60	0
"GO:0000042~protein targeting to Golgi"	-0.182395482110731	1	213	14	0
"GO:0045454~cell redox homeostasis"	-0.182395482110731	1	213	57	0
"GO:0006662~glycerol ether metabolic process"	-0.182395482110731	1	213	15	0
"GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"	-0.182395482110731	1	213	15	0
"GO:0032781~positive regulation of ATPase activity"	-0.182395482110731	1	213	17	0
"GO:0060056~mammary gland involution"	-0.182395482110731	1	213	10	0
"GO:0090103~cochlea morphogenesis"	-0.182395482110731	1	213	21	0
"GO:0008406~gonad development"	-0.182395482110731	1	213	26	0
"GO:0001944~vasculature development"	-0.182395482110731	1	213	34	0
"GO:0048617~embryonic foregut morphogenesis"	-0.182395482110731	1	213	11	0
"GO:0035050~embryonic heart tube development"	-0.182395482110731	1	213	20	0
"GO:0048339~paraxial mesoderm development"	-0.182395482110731	1	213	10	0
"GO:0045176~apical protein localization"	-0.182395482110731	1	213	11	0
"GO:0042074~cell migration involved in gastrulation"	-0.182395482110731	1	213	12	0
"GO:0030903~notochord development"	-0.182395482110731	1	213	13	0
"GO:0001843~neural tube closure"	-0.182395482110731	1	213	64	0
"GO:0001756~somitogenesis"	-0.182395482110731	1	213	46	0
"GO:0046330~positive regulation of JNK cascade"	-0.182395482110731	1	213	52	0
"GO:0043507~positive regulation of JUN kinase activity"	-0.182395482110731	1	213	32	0
"GO:0046329~negative regulation of JNK cascade"	-0.182395482110731	1	213	19	0
"GO:0010827~regulation of glucose transport"	-0.182395482110731	1	213	30	0
"GO:0051927~negative regulation of calcium ion transport via voltage-gated calcium channel activity"	-0.182395482110731	1	213	11	0
"GO:0043277~apoptotic cell clearance"	-0.182395482110731	1	213	12	0
"GO:0010745~negative regulation of macrophage derived foam cell differentiation"	-0.182395482110731	1	213	12	0
"GO:0048661~positive regulation of smooth muscle cell proliferation"	-0.182395482110731	1	213	49	0
"GO:0030819~positive regulation of cAMP biosynthetic process"	-0.182395482110731	1	213	33	0
"GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway"	-0.182395482110731	1	213	45	0
"GO:0006937~regulation of muscle contraction"	-0.182395482110731	1	213	18	0
"GO:0006171~cAMP biosynthetic process"	-0.182395482110731	1	213	16	0
"GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	-0.182395482110731	1	213	39	0
"GO:0048565~digestive tract development"	-0.182395482110731	1	213	24	0
"GO:0030199~collagen fibril organization"	-0.182395482110731	1	213	40	0
"GO:0071230~cellular response to amino acid stimulus"	-0.182395482110731	1	213	38	0
"GO:0009314~response to radiation"	-0.182395482110731	1	213	34	0
"GO:0006541~glutamine metabolic process"	-0.182395482110731	1	213	16	0
"GO:0008033~tRNA processing"	-0.182395482110731	1	213	58	0
"GO:0006672~ceramide metabolic process"	-0.182395482110731	1	213	17	0
"GO:0007131~reciprocal meiotic recombination"	-0.182395482110731	1	213	27	0
"GO:0070584~mitochondrion morphogenesis"	-0.182395482110731	1	213	11	0
"GO:0071773~cellular response to BMP stimulus"	-0.182395482110731	1	213	10	0
"GO:0040007~growth"	-0.182395482110731	1	213	38	0
"GO:0043403~skeletal muscle tissue regeneration"	-0.182395482110731	1	213	11	0
"GO:0030101~natural killer cell activation"	-0.182395482110731	1	213	14	0
"GO:0032024~positive regulation of insulin secretion"	-0.182395482110731	1	213	35	0
"GO:0046854~phosphatidylinositol phosphorylation"	-0.182395482110731	1	213	31	0
"GO:0006796~phosphate-containing compound metabolic process"	-0.182395482110731	1	213	20	0
"GO:0050909~sensory perception of taste"	-0.182395482110731	1	213	35	0
"GO:0050912~detection of chemical stimulus involved in sensory perception of taste"	-0.182395482110731	1	213	12	0
"GO:0007059~chromosome segregation"	-0.182395482110731	1	213	62	0
"GO:0000090~mitotic anaphase"	-0.182395482110731	1	213	11	0
"GO:0001958~endochondral ossification"	-0.182395482110731	1	213	22	0
"GO:0014047~glutamate secretion"	-0.182395482110731	1	213	17	0
"GO:0051289~protein homotetramerization"	-0.182395482110731	1	213	52	0
"GO:0002087~regulation of respiratory gaseous exchange by neurological system process"	-0.182395482110731	1	213	12	0
"GO:0001759~organ induction"	-0.182395482110731	1	213	15	0
"GO:0035121~tail morphogenesis"	-0.182395482110731	1	213	17	0
"GO:0006814~sodium ion transport"	-0.182395482110731	1	213	92	0
"GO:0006986~response to unfolded protein"	-0.182395482110731	1	213	48	0
"GO:0033209~tumor necrosis factor-mediated signaling pathway"	-0.182395482110731	1	213	30	0
"GO:0031663~lipopolysaccharide-mediated signaling pathway"	-0.182395482110731	1	213	31	0
"GO:0043330~response to exogenous dsRNA"	-0.182395482110731	1	213	16	0
"GO:0001937~negative regulation of endothelial cell proliferation"	-0.182395482110731	1	213	23	0
"GO:0008015~blood circulation"	-0.182395482110731	1	213	46	0
"GO:0060334~regulation of interferon-gamma-mediated signaling pathway"	-0.182395482110731	1	213	16	0
"GO:0060337~type I interferon-mediated signaling pathway"	-0.182395482110731	1	213	86	0
"GO:0060338~regulation of type I interferon-mediated signaling pathway"	-0.182395482110731	1	213	27	0
"GO:0006801~superoxide metabolic process"	-0.182395482110731	1	213	17	0
"GO:0019430~removal of superoxide radicals"	-0.182395482110731	1	213	11	0
"GO:0030001~metal ion transport"	-0.182395482110731	1	213	22	0
"GO:0010842~retina layer formation"	-0.182395482110731	1	213	13	0
"GO:0016358~dendrite development"	-0.182395482110731	1	213	38	0
"GO:0032784~regulation of transcription elongation, DNA-dependent"	-0.182395482110731	1	213	13	0
"GO:0032313~regulation of Rab GTPase activity"	-0.182395482110731	1	213	35	0
"GO:0006506~GPI anchor biosynthetic process"	-0.182395482110731	1	213	28	0
"GO:0006501~C-terminal protein lipidation"	-0.182395482110731	1	213	25	0
"GO:0016254~preassembly of GPI anchor in ER membrane"	-0.182395482110731	1	213	16	0
"GO:0006310~DNA recombination"	-0.182395482110731	1	213	92	0
"GO:0016575~histone deacetylation"	-0.182395482110731	1	213	20	0
"GO:0030520~intracellular estrogen receptor signaling pathway"	-0.182395482110731	1	213	14	0
"GO:0007130~synaptonemal complex assembly"	-0.182395482110731	1	213	21	0
"GO:0007126~meiosis"	-0.182395482110731	1	213	51	0
"GO:0048477~oogenesis"	-0.182395482110731	1	213	20	0
"GO:0030048~actin filament-based movement"	-0.182395482110731	1	213	16	0
"GO:0045332~phospholipid translocation"	-0.182395482110731	1	213	13	0
"GO:0015914~phospholipid transport"	-0.182395482110731	1	213	21	0
"GO:0007093~mitotic cell cycle checkpoint"	-0.182395482110731	1	213	14	0
"GO:0016573~histone acetylation"	-0.182395482110731	1	213	25	0
"GO:0043967~histone H4 acetylation"	-0.182395482110731	1	213	21	0
"GO:0016578~histone deubiquitination"	-0.182395482110731	1	213	12	0
"GO:0043968~histone H2A acetylation"	-0.182395482110731	1	213	12	0
"GO:0002250~adaptive immune response"	-0.182395482110731	1	213	16	0
"GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"	-0.182395482110731	1	213	27	0
"GO:0097067~cellular response to thyroid hormone stimulus"	-0.182395482110731	1	213	10	0
"GO:0060271~cilium morphogenesis"	-0.182395482110731	1	213	31	0
"GO:0051693~actin filament capping"	-0.182395482110731	1	213	17	0
"GO:0042384~cilium assembly"	-0.182395482110731	1	213	52	0
"GO:0045444~fat cell differentiation"	-0.182395482110731	1	213	51	0
"GO:0032402~melanosome transport"	-0.182395482110731	1	213	11	0
"GO:0045453~bone resorption"	-0.182395482110731	1	213	19	0
"GO:0032922~circadian regulation of gene expression"	-0.182395482110731	1	213	12	0
"GO:0045648~positive regulation of erythrocyte differentiation"	-0.182395482110731	1	213	17	0
"GO:0030949~positive regulation of vascular endothelial growth factor receptor signaling pathway"	-0.182395482110731	1	213	14	0
"GO:0042789~mRNA transcription from RNA polymerase II promoter"	-0.182395482110731	1	213	10	0
"GO:0006641~triglyceride metabolic process"	-0.182395482110731	1	213	32	0
"GO:0016180~snRNA processing"	-0.182395482110731	1	213	12	0
"GO:0006829~zinc ion transport"	-0.182395482110731	1	213	20	0
"GO:0001833~inner cell mass cell proliferation"	-0.182395482110731	1	213	13	0
"GO:0001539~ciliary or flagellar motility"	-0.182395482110731	1	213	16	0
"GO:0034968~histone lysine methylation"	-0.182395482110731	1	213	21	0
"GO:0015721~bile acid and bile salt transport"	-0.182395482110731	1	213	16	0
"GO:0090263~positive regulation of canonical Wnt receptor signaling pathway"	-0.182395482110731	1	213	48	0
"GO:0007398~ectoderm development"	-0.182395482110731	1	213	17	0
"GO:0048599~oocyte development"	-0.182395482110731	1	213	10	0
"GO:0007016~cytoskeletal anchoring at plasma membrane"	-0.182395482110731	1	213	10	0
"GO:0016331~morphogenesis of embryonic epithelium"	-0.182395482110731	1	213	12	0
"GO:0006379~mRNA cleavage"	-0.182395482110731	1	213	11	0
"GO:0006406~mRNA export from nucleus"	-0.182395482110731	1	213	63	0
"GO:0006378~mRNA polyadenylation"	-0.182395482110731	1	213	20	0
"GO:0006369~termination of RNA polymerase II transcription"	-0.182395482110731	1	213	44	0
"GO:0031124~mRNA 3'-end processing"	-0.182395482110731	1	213	33	0
"GO:0019048~virus-host interaction"	-0.182395482110731	1	213	12	0
"GO:0007623~circadian rhythm"	-0.182395482110731	1	213	44	0
"GO:0000413~protein peptidyl-prolyl isomerization"	-0.182395482110731	1	213	20	0
"GO:0018208~peptidyl-proline modification"	-0.182395482110731	1	213	14	0
"GO:0002076~osteoblast development"	-0.182395482110731	1	213	19	0
"GO:0050715~positive regulation of cytokine secretion"	-0.182395482110731	1	213	28	0
"GO:0009117~nucleotide metabolic process"	-0.182395482110731	1	213	12	0
"GO:0007029~endoplasmic reticulum organization"	-0.182395482110731	1	213	13	0
"GO:0009566~fertilization"	-0.182395482110731	1	213	30	0
"GO:0048873~homeostasis of number of cells within a tissue"	-0.182395482110731	1	213	20	0
"GO:0016079~synaptic vesicle exocytosis"	-0.182395482110731	1	213	15	0
"GO:0007218~neuropeptide signaling pathway"	-0.182395482110731	1	213	90	0
"GO:0009435~NAD biosynthetic process"	-0.182395482110731	1	213	14	0
"GO:0019674~NAD metabolic process"	-0.182395482110731	1	213	11	0
"GO:0035338~long-chain fatty-acyl-CoA biosynthetic process"	-0.182395482110731	1	213	18	0
"GO:0044262~cellular carbohydrate metabolic process"	-0.182395482110731	1	213	10	0
"GO:0006112~energy reserve metabolic process"	-0.182395482110731	1	213	107	0
"GO:0031325~positive regulation of cellular metabolic process"	-0.182395482110731	1	213	13	0
"GO:0006885~regulation of pH"	-0.182395482110731	1	213	18	0
"GO:0006909~phagocytosis"	-0.182395482110731	1	213	34	0
"GO:0007608~sensory perception of smell"	-0.182395482110731	1	213	54	0
"GO:0050911~detection of chemical stimulus involved in sensory perception of smell"	-0.182395482110731	1	213	36	0
"GO:0046788~egress of virus within host cell"	-0.182395482110731	1	213	11	0
"GO:0031397~negative regulation of protein ubiquitination"	-0.182395482110731	1	213	18	0
"GO:0090200~positive regulation of release of cytochrome c from mitochondria"	-0.182395482110731	1	213	18	0
"GO:0097191~extrinsic apoptotic signaling pathway"	-0.182395482110731	1	213	10	0
"GO:0050673~epithelial cell proliferation"	-0.182395482110731	1	213	11	0
"GO:0010811~positive regulation of cell-substrate adhesion"	-0.182395482110731	1	213	28	0
"GO:0048593~camera-type eye morphogenesis"	-0.182395482110731	1	213	19	0
"GO:0007162~negative regulation of cell adhesion"	-0.182395482110731	1	213	31	0
"GO:0042994~cytoplasmic sequestering of transcription factor"	-0.182395482110731	1	213	14	0
"GO:0030259~lipid glycosylation"	-0.182395482110731	1	213	26	0
"GO:0022617~extracellular matrix disassembly"	-0.182395482110731	1	213	28	0
"GO:0007586~digestion"	-0.182395482110731	1	213	54	0
"GO:0042110~T cell activation"	-0.182395482110731	1	213	45	0
"GO:0030593~neutrophil chemotaxis"	-0.182395482110731	1	213	31	0
"GO:0014065~phosphatidylinositol 3-kinase cascade"	-0.182395482110731	1	213	18	0
"GO:0001816~cytokine production"	-0.182395482110731	1	213	22	0
"GO:0070527~platelet aggregation"	-0.182395482110731	1	213	11	0
"GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process"	-0.182395482110731	1	213	11	0
"GO:0002407~dendritic cell chemotaxis"	-0.182395482110731	1	213	14	0
"GO:0045088~regulation of innate immune response"	-0.182395482110731	1	213	13	0
"GO:0032481~positive regulation of type I interferon production"	-0.182395482110731	1	213	18	0
"GO:0032480~negative regulation of type I interferon production"	-0.182395482110731	1	213	31	0
"GO:0030901~midbrain development"	-0.182395482110731	1	213	32	0
"GO:0015711~organic anion transport"	-0.182395482110731	1	213	20	0
"GO:0030574~collagen catabolic process"	-0.182395482110731	1	213	20	0
"GO:0051412~response to corticosterone stimulus"	-0.182395482110731	1	213	24	0
"GO:0045907~positive regulation of vasoconstriction"	-0.182395482110731	1	213	23	0
"GO:0007204~elevation of cytosolic calcium ion concentration"	-0.182395482110731	1	213	104	0
"GO:0014902~myotube differentiation"	-0.182395482110731	1	213	11	0
"GO:0010460~positive regulation of heart rate"	-0.182395482110731	1	213	12	0
"GO:0007625~grooming behavior"	-0.182395482110731	1	213	12	0
"GO:0007032~endosome organization"	-0.182395482110731	1	213	20	0
"GO:0060326~cell chemotaxis"	-0.182395482110731	1	213	20	0
"GO:0072661~protein targeting to plasma membrane"	-0.182395482110731	1	213	12	0
"GO:0046488~phosphatidylinositol metabolic process"	-0.182395482110731	1	213	22	0
"GO:0051262~protein tetramerization"	-0.182395482110731	1	213	25	0
"GO:0070588~calcium ion transmembrane transport"	-0.182395482110731	1	213	45	0
"GO:0032981~mitochondrial respiratory chain complex I assembly"	-0.182395482110731	1	213	13	0
"GO:0001932~regulation of protein phosphorylation"	-0.182395482110731	1	213	35	0
"GO:0006833~water transport"	-0.182395482110731	1	213	38	0
"GO:0007612~learning"	-0.182395482110731	1	213	39	0
"GO:0071377~cellular response to glucagon stimulus"	-0.182395482110731	1	213	36	0
"GO:0034199~activation of protein kinase A activity"	-0.182395482110731	1	213	16	0
"GO:0006090~pyruvate metabolic process"	-0.182395482110731	1	213	23	0
"GO:0006103~2-oxoglutarate metabolic process"	-0.182395482110731	1	213	19	0
"GO:0010510~regulation of acetyl-CoA biosynthetic process from pyruvate"	-0.182395482110731	1	213	12	0
"GO:0007040~lysosome organization"	-0.182395482110731	1	213	30	0
"GO:0006661~phosphatidylinositol biosynthetic process"	-0.182395482110731	1	213	14	0
"GO:0009103~lipopolysaccharide biosynthetic process"	-0.182395482110731	1	213	48	0
"GO:0006261~DNA-dependent DNA replication"	-0.182395482110731	1	213	20	0
"GO:0018108~peptidyl-tyrosine phosphorylation"	-0.182395482110731	1	213	58	0
"GO:0050679~positive regulation of epithelial cell proliferation"	-0.182395482110731	1	213	59	0
"GO:0006891~intra-Golgi vesicle-mediated transport"	-0.182395482110731	1	213	15	0
"GO:0006779~porphyrin-containing compound biosynthetic process"	-0.182395482110731	1	213	11	0
"GO:0006778~porphyrin-containing compound metabolic process"	-0.182395482110731	1	213	16	0
"GO:0046685~response to arsenic-containing substance"	-0.182395482110731	1	213	11	0
"GO:0051597~response to methylmercury"	-0.182395482110731	1	213	10	0
"GO:0006783~heme biosynthetic process"	-0.182395482110731	1	213	18	0
"GO:0006107~oxaloacetate metabolic process"	-0.182395482110731	1	213	11	0
"GO:0008610~lipid biosynthetic process"	-0.182395482110731	1	213	16	0
"GO:0048025~negative regulation of nuclear mRNA splicing, via spliceosome"	-0.182395482110731	1	213	10	0
"GO:0006807~nitrogen compound metabolic process"	-0.182395482110731	1	213	17	0
"GO:0006486~protein glycosylation"	-0.182395482110731	1	213	92	0
"GO:0006626~protein targeting to mitochondrion"	-0.182395482110731	1	213	43	0
"GO:0000245~spliceosomal complex assembly"	-0.182395482110731	1	213	24	0
"GO:0000387~spliceosomal snRNP assembly"	-0.182395482110731	1	213	27	0
"GO:0034660~ncRNA metabolic process"	-0.182395482110731	1	213	23	0
"GO:0048666~neuron development"	-0.182395482110731	1	213	38	0
"GO:0090399~replicative senescence"	-0.182395482110731	1	213	11	0
"GO:0002009~morphogenesis of an epithelium"	-0.182395482110731	1	213	16	0
"GO:0002088~lens development in camera-type eye"	-0.182395482110731	1	213	27	0
"GO:0021987~cerebral cortex development"	-0.182395482110731	1	213	44	0
"GO:0030500~regulation of bone mineralization"	-0.182395482110731	1	213	15	0
"GO:0042326~negative regulation of phosphorylation"	-0.182395482110731	1	213	20	0
"GO:0046627~negative regulation of insulin receptor signaling pathway"	-0.182395482110731	1	213	22	0
"GO:0030502~negative regulation of bone mineralization"	-0.182395482110731	1	213	16	0
"GO:0050766~positive regulation of phagocytosis"	-0.182395482110731	1	213	23	0
"GO:0042730~fibrinolysis"	-0.182395482110731	1	213	18	0
"GO:0050730~regulation of peptidyl-tyrosine phosphorylation"	-0.182395482110731	1	213	14	0
"GO:0051918~negative regulation of fibrinolysis"	-0.182395482110731	1	213	10	0
"GO:0030193~regulation of blood coagulation"	-0.182395482110731	1	213	10	0
"GO:0043537~negative regulation of blood vessel endothelial cell migration"	-0.182395482110731	1	213	17	0
"GO:0035810~positive regulation of urine volume"	-0.182395482110731	1	213	12	0
"GO:0006939~smooth muscle contraction"	-0.182395482110731	1	213	19	0
"GO:0030195~negative regulation of blood coagulation"	-0.182395482110731	1	213	11	0
"GO:0007597~blood coagulation, intrinsic pathway"	-0.182395482110731	1	213	18	0
"GO:0010629~negative regulation of gene expression"	-0.182395482110731	1	213	74	0
"GO:0032728~positive regulation of interferon-beta production"	-0.182395482110731	1	213	18	0
"GO:0000077~DNA damage checkpoint"	-0.182395482110731	1	213	27	0
"GO:0071479~cellular response to ionizing radiation"	-0.182395482110731	1	213	18	0
"GO:0070536~protein K63-linked deubiquitination"	-0.182395482110731	1	213	14	0
"GO:0019433~triglyceride catabolic process"	-0.182395482110731	1	213	19	0
"GO:0048754~branching morphogenesis of a tube"	-0.182395482110731	1	213	34	0
"GO:0072659~protein localization in plasma membrane"	-0.182395482110731	1	213	26	0
"GO:0050805~negative regulation of synaptic transmission"	-0.182395482110731	1	213	11	0
"GO:0009744~response to sucrose stimulus"	-0.182395482110731	1	213	10	0
"GO:0009967~positive regulation of signal transduction"	-0.182395482110731	1	213	17	0
"GO:0046326~positive regulation of glucose import"	-0.182395482110731	1	213	24	0
"GO:0045776~negative regulation of blood pressure"	-0.182395482110731	1	213	25	0
"GO:0048662~negative regulation of smooth muscle cell proliferation"	-0.182395482110731	1	213	27	0
"GO:0046888~negative regulation of hormone secretion"	-0.182395482110731	1	213	13	0
"GO:0034612~response to tumor necrosis factor"	-0.182395482110731	1	213	27	0
"GO:0035690~cellular response to drug"	-0.182395482110731	1	213	28	0
