GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 15:04:47 BST 2017

Gene	Score	Description
FNBP4	PPFIA1	0.0088932928324532	Co-expression	Rieger-Chu-2004
FNBP4	PUM2	0.005095525854028676	Co-expression	Rieger-Chu-2004
FNBP4	RBM5	0.008898785072196654	Co-expression	Rieger-Chu-2004
FNBP4	SNRNP200	0.002737590234758846	Co-expression	Rieger-Chu-2004
FNBP4	SPEN	0.0037947640359878238	Co-expression	Rieger-Chu-2004
FNBP4	SRSF11	0.004558692407732474	Co-expression	Rieger-Chu-2004
FNBP4	STRN3	0.008726025346634083	Co-expression	Rieger-Chu-2004
FNBP4	STX16	0.01049905209483787	Co-expression	Rieger-Chu-2004
FNBP4	UPF3A	0.007654229764415204	Co-expression	Rieger-Chu-2004
FNBP4	ZFC3H1	0.0039041768020320737	Co-expression	Rieger-Chu-2004
FNBP4	ZNF292	0.009229454265549544	Co-expression	Rieger-Chu-2004
FOXJ3	KIAA0907	0.012609713279393628	Co-expression	Rieger-Chu-2004
FOXJ3	NUP153	0.004428318424158708	Co-expression	Rieger-Chu-2004
FOXJ3	PNN	0.018891492542271984	Co-expression	Rieger-Chu-2004
FOXJ3	PTPRA	0.01511378460353693	Co-expression	Rieger-Chu-2004
FOXJ3	PUM2	0.008103020721163149	Co-expression	Rieger-Chu-2004
FOXJ3	SETD2	0.01601342402987496	Co-expression	Rieger-Chu-2004
FOXJ3	SLC25A36	0.016035513214064726	Co-expression	Rieger-Chu-2004
FOXJ3	TCERG1	0.006052745828002749	Co-expression	Rieger-Chu-2004
FOXJ3	ZFC3H1	0.005594349071988246	Co-expression	Rieger-Chu-2004
GSAP	TPP1	0.00913007297423159	Co-expression	Rieger-Chu-2004
HCLS1	NBR1	0.011955371413791896	Co-expression	Rieger-Chu-2004
HCLS1	SF3A1	0.007011319068736887	Co-expression	Rieger-Chu-2004
HCLS1	TPP1	0.006055714315651951	Co-expression	Rieger-Chu-2004
HIF1A	BIRC2	0.007875507206700617	Co-expression	Rieger-Chu-2004
HIF1A	CNOT2	0.009256700427295185	Co-expression	Rieger-Chu-2004
HIF1A	ELF1	0.010149957165339075	Co-expression	Rieger-Chu-2004
HIF1A	MORC3	0.006775071632183658	Co-expression	Rieger-Chu-2004
HIF1A	NR3C1	0.011077167263761739	Co-expression	Rieger-Chu-2004
HIF1A	PUM1	0.005951473188775276	Co-expression	Rieger-Chu-2004
HIF1A	RAD21	0.006398289715147393	Co-expression	Rieger-Chu-2004
HIF1A	RAP1B	0.014027271206771509	Co-expression	Rieger-Chu-2004
HIF1A	RBM39	0.009249292403622711	Co-expression	Rieger-Chu-2004
HIF1A	SF3B1	0.007663677218275383	Co-expression	Rieger-Chu-2004
HIF1A	SPEN	0.004122728895062338	Co-expression	Rieger-Chu-2004
HIF1A	USP8	0.007740234289936926	Co-expression	Rieger-Chu-2004
HIF1A	ZFX	0.014389980908896491	Co-expression	Rieger-Chu-2004
HIF1A	ZMYM2	0.005728823419634585	Co-expression	Rieger-Chu-2004
HIF1A	ZNF217	0.00606057463993106	Co-expression	Rieger-Chu-2004
HIF1A	ZNF638	0.004160528973631244	Co-expression	Rieger-Chu-2004
HMGN4	ENPP2	0.014629457809787211	Co-expression	Rieger-Chu-2004
HNMT	EFEMP1	0.010384671974749087	Co-expression	Rieger-Chu-2004
HNRNPA1	BCLAF1	0.01152930595518157	Co-expression	Rieger-Chu-2004
HNRNPA2B1	ALMS1	0.013770050823399401	Co-expression	Rieger-Chu-2004
HNRNPH3	CHD1	0.010465555199303408	Co-expression	Rieger-Chu-2004
HNRNPH3	DHX29	0.009655915587675815	Co-expression	Rieger-Chu-2004
HNRNPH3	DMTF1	0.014327923193767139	Co-expression	Rieger-Chu-2004
HNRNPH3	HIPK1	0.008899404769651245	Co-expression	Rieger-Chu-2004
HNRNPH3	JMJD1C	0.01247419307011257	Co-expression	Rieger-Chu-2004
HNRNPH3	LUC7L3	0.009041753380222171	Co-expression	Rieger-Chu-2004
HNRNPH3	PNISR	0.009619040656805284	Co-expression	Rieger-Chu-2004
HNRNPH3	RBM39	0.013009938136100116	Co-expression	Rieger-Chu-2004
HNRNPH3	SPEN	0.004846093230072118	Co-expression	Rieger-Chu-2004
HNRNPH3	ZFC3H1	0.005724753356226196	Co-expression	Rieger-Chu-2004
HNRNPH3	ZFX	0.018859727671799883	Co-expression	Rieger-Chu-2004
HNRNPK	CDK12	0.006921898876409061	Co-expression	Rieger-Chu-2004
HNRNPK	HNRNPA2B1	0.006230939635582355	Co-expression	Rieger-Chu-2004
HNRNPK	NSMAF	0.006960648049975457	Co-expression	Rieger-Chu-2004
HNRNPK	PIK3R1	0.005093439506683526	Co-expression	Rieger-Chu-2004
HNRNPK	RAP1A	0.00980363230301112	Co-expression	Rieger-Chu-2004
HNRNPK	TGOLN2	0.011848576234156786	Co-expression	Rieger-Chu-2004
HNRNPK	TRA2A	0.010485904538904573	Co-expression	Rieger-Chu-2004
KCTD12	FAM65B	0.017277450446716643	Co-expression	Rieger-Chu-2004
KDM6A	ZBTB5	0.011320172725868667	Co-expression	Rieger-Chu-2004
KDM6A	ZFX	0.03431095904305901	Co-expression	Rieger-Chu-2004
KIAA0907	DMTF1	0.01614219501056934	Co-expression	Rieger-Chu-2004
KIAA0907	HIPK1	0.009037996097863418	Co-expression	Rieger-Chu-2004
KIAA0907	MAP3K7	0.02255995876709931	Co-expression	Rieger-Chu-2004
KIAA0907	MARK3	0.012950823495159683	Co-expression	Rieger-Chu-2004
KIAA0907	OGT	0.012084036830882024	Co-expression	Rieger-Chu-2004
KIAA0907	PNISR	0.010109086456559445	Co-expression	Rieger-Chu-2004
KIAA0907	PUM2	0.009112036259516171	Co-expression	Rieger-Chu-2004
KIAA0907	RBM39	0.011321740540879966	Co-expression	Rieger-Chu-2004
KIAA0907	SPEN	0.004716606274006304	Co-expression	Rieger-Chu-2004
KIAA0907	STRN3	0.021262777558996204	Co-expression	Rieger-Chu-2004
KIAA0907	UPF3A	0.013891110773779476	Co-expression	Rieger-Chu-2004
KIAA0907	ZFC3H1	0.008126147947461394	Co-expression	Rieger-Chu-2004
KIAA0947	ABL1	0.006084334270414039	Co-expression	Rieger-Chu-2004
KIAA0947	ADNP	0.002774638417007651	Co-expression	Rieger-Chu-2004
KIAA0947	ATXN2	0.0040826934094293135	Co-expression	Rieger-Chu-2004
KIAA0947	BCLAF1	0.003620790084616158	Co-expression	Rieger-Chu-2004
KIAA0947	BTAF1	0.0069955285129341665	Co-expression	Rieger-Chu-2004
KIAA0947	DDX5	0.004184977211143812	Co-expression	Rieger-Chu-2004
KIAA0947	DMTF1	0.003793249002778649	Co-expression	Rieger-Chu-2004
KIAA0947	FNBP4	0.0028143792042454713	Co-expression	Rieger-Chu-2004
KIAA0947	FOXJ3	0.0042436344097991525	Co-expression	Rieger-Chu-2004
KIAA0947	GNA13	0.00460204679353437	Co-expression	Rieger-Chu-2004
KIAA0947	LUC7L3	0.0035600472716962516	Co-expression	Rieger-Chu-2004
KIAA0947	MFN1	0.0034663346481825607	Co-expression	Rieger-Chu-2004
KIAA0947	MGEA5	0.003311669795061825	Co-expression	Rieger-Chu-2004
KIAA0947	NBR1	0.004769424730161642	Co-expression	Rieger-Chu-2004
KIAA0947	OGT	0.00423970851890583	Co-expression	Rieger-Chu-2004
KIAA0947	PAXIP1	0.0038597760658750663	Co-expression	Rieger-Chu-2004
KIAA0947	PIGA	0.006216948548255823	Co-expression	Rieger-Chu-2004
KIAA0947	PNISR	0.0030202597550023544	Co-expression	Rieger-Chu-2004
KIAA0947	PNN	0.006453148090210826	Co-expression	Rieger-Chu-2004
KIAA0947	PPP2R5E	0.006467008200472823	Co-expression	Rieger-Chu-2004
KIAA0947	PPWD1	0.004437225353267484	Co-expression	Rieger-Chu-2004
KIAA0947	PRPF4B	0.006200184950156501	Co-expression	Rieger-Chu-2004
KIAA0947	PUM2	0.003464884614785264	Co-expression	Rieger-Chu-2004
KIAA0947	RBPJ	0.003457851684012158	Co-expression	Rieger-Chu-2004
KIAA0947	ROCK1	0.0027756073051809376	Co-expression	Rieger-Chu-2004
KIAA0947	SEC24B	0.004745295138343391	Co-expression	Rieger-Chu-2004
KIAA0947	SETD2	0.005741888381821961	Co-expression	Rieger-Chu-2004
KIAA0947	SH3GLB1	0.004282507718344623	Co-expression	Rieger-Chu-2004
KIAA0947	SLC11A2	0.004974102295678401	Co-expression	Rieger-Chu-2004
KIAA0947	SLC35A3	0.004700664703603056	Co-expression	Rieger-Chu-2004
KIAA0947	SMC5	0.0029959239231794996	Co-expression	Rieger-Chu-2004
KIAA0947	SNRNP200	0.002081904143724261	Co-expression	Rieger-Chu-2004
KIAA0947	SPEN	0.0021774768370425063	Co-expression	Rieger-Chu-2004
KIAA0947	SREK1	0.0028665906696763587	Co-expression	Rieger-Chu-2004
KIAA0947	TCERG1	0.00238652942749105	Co-expression	Rieger-Chu-2004
KIAA0947	U2SURP	0.0048359136730676345	Co-expression	Rieger-Chu-2004
KIAA0947	UBR5	0.0032819700125979075	Co-expression	Rieger-Chu-2004
KIAA0947	UPF3A	0.0041879427664706734	Co-expression	Rieger-Chu-2004
KIAA0947	ZBTB11	0.003743116553887061	Co-expression	Rieger-Chu-2004
KIAA0947	ZFC3H1	0.0023834529326356452	Co-expression	Rieger-Chu-2004
KIAA0947	ZNF292	0.006180114669898058	Co-expression	Rieger-Chu-2004
KIAA1033	AHR	0.006003697849656695	Co-expression	Rieger-Chu-2004
KIAA1033	ANXA4	0.0034544868441266207	Co-expression	Rieger-Chu-2004
KIAA1033	BNIP2	0.007487596148941989	Co-expression	Rieger-Chu-2004
KIAA1033	EPS8	0.008386715576784996	Co-expression	Rieger-Chu-2004
KIAA1033	HMGN4	0.007116072374582339	Co-expression	Rieger-Chu-2004
KIAA1033	JMJD1C	0.006108862658070576	Co-expression	Rieger-Chu-2004
KIAA1033	SSFA2	0.009373764599766157	Co-expression	Rieger-Chu-2004
KIAA1033	THUMPD1	0.00999269769566753	Co-expression	Rieger-Chu-2004
LAPTM5	TPP1	0.008831128576278817	Co-expression	Rieger-Chu-2004
LUC7L3	ADNP	0.005898815032907878	Co-expression	Rieger-Chu-2004
LUC7L3	DIDO1	0.009272861433153567	Co-expression	Rieger-Chu-2004
LUC7L3	DMTF1	0.010135456831366104	Co-expression	Rieger-Chu-2004
LUC7L3	KIAA0907	0.011285868464249832	Co-expression	Rieger-Chu-2004
LUC7L3	MAP3K7	0.012728355041283704	Co-expression	Rieger-Chu-2004
LUC7L3	OGT	0.00841833969578476	Co-expression	Rieger-Chu-2004
LUC7L3	PNISR	0.007019888780776524	Co-expression	Rieger-Chu-2004
LUC7L3	PNN	0.015565249838259266	Co-expression	Rieger-Chu-2004
LUC7L3	PRPF4B	0.011354121199043539	Co-expression	Rieger-Chu-2004
LUC7L3	PUM2	0.006152022533157229	Co-expression	Rieger-Chu-2004
LUC7L3	RBM39	0.008816133657271108	Co-expression	Rieger-Chu-2004
LUC7L3	SCAF11	0.009235600413174892	Co-expression	Rieger-Chu-2004
LUC7L3	SLC35A3	0.009244306478203356	Co-expression	Rieger-Chu-2004
LUC7L3	SMC5	0.006125819300723969	Co-expression	Rieger-Chu-2004
LUC7L3	SNRNP200	0.0032916654920560396	Co-expression	Rieger-Chu-2004
LUC7L3	SPEN	0.003954629851499539	Co-expression	Rieger-Chu-2004
LUC7L3	TCERG1	0.004748344264856952	Co-expression	Rieger-Chu-2004
LUC7L3	UPF3A	0.009314159283554106	Co-expression	Rieger-Chu-2004
LUC7L3	ZFC3H1	0.004800253701086785	Co-expression	Rieger-Chu-2004
LYN	FOXN3	0.02505701108900062	Co-expression	Rieger-Chu-2004
LYN	SH2B3	0.01596491559883953	Co-expression	Rieger-Chu-2004
MAGOH	MED14	0.007593954412548388	Co-expression	Rieger-Chu-2004
MAML1	SF3A1	0.013264337625380816	Co-expression	Rieger-Chu-2004
MAML1	SH2B3	0.014294383290838354	Co-expression	Rieger-Chu-2004
MAN2A1	SEC24A	0.008483716799803375	Co-expression	Rieger-Chu-2004
MAP3K7	PNISR	0.010059613291474043	Co-expression	Rieger-Chu-2004
MAP3K7	SMC5	0.010691027328696675	Co-expression	Rieger-Chu-2004
MAP3K7	ZFC3H1	0.007880511703494793	Co-expression	Rieger-Chu-2004
MARK3	GSAP	0.012907968581596426	Co-expression	Rieger-Chu-2004
MARK3	SPEN	0.0042873548471732015	Co-expression	Rieger-Chu-2004
MARK3	STRN3	0.017280068033125782	Co-expression	Rieger-Chu-2004
MARK3	ZFC3H1	0.00500124582614213	Co-expression	Rieger-Chu-2004
MFAP1	ADNP	0.007532888311090459	Co-expression	Rieger-Chu-2004
MFAP1	DHX29	0.009410928853107601	Co-expression	Rieger-Chu-2004
MFAP1	RAD21	0.006572776578568423	Co-expression	Rieger-Chu-2004
MFAP1	SNAPC1	0.015350390760856463	Co-expression	Rieger-Chu-2004
MFN1	JMJD1C	0.008280773702950925	Co-expression	Rieger-Chu-2004
MFN1	NBR1	0.013116865270240542	Co-expression	Rieger-Chu-2004
MFN1	ZFYVE26	0.008595114748072034	Co-expression	Rieger-Chu-2004
MFN1	ZNF292	0.011287891766664665	Co-expression	Rieger-Chu-2004
MGEA5	ATXN2	0.00620521632657213	Co-expression	Rieger-Chu-2004
MGEA5	DIDO1	0.006576520665476645	Co-expression	Rieger-Chu-2004
MGEA5	DMTF1	0.005996723809690591	Co-expression	Rieger-Chu-2004
MGEA5	FNBP4	0.004453951319896772	Co-expression	Rieger-Chu-2004
MGEA5	GNA13	0.0066637728941541805	Co-expression	Rieger-Chu-2004
MGEA5	LUC7L3	0.0046918858192364745	Co-expression	Rieger-Chu-2004
MGEA5	MFN1	0.005186262170366923	Co-expression	Rieger-Chu-2004
MGEA5	NBR1	0.008118266353730957	Co-expression	Rieger-Chu-2004
MGEA5	OGT	0.006790068506072926	Co-expression	Rieger-Chu-2004
MGEA5	PNISR	0.004651808792370296	Co-expression	Rieger-Chu-2004
MGEA5	PRPF4B	0.009076311776443833	Co-expression	Rieger-Chu-2004
MGEA5	PUM2	0.004958016552760087	Co-expression	Rieger-Chu-2004
MGEA5	RBM5	0.008597701056376212	Co-expression	Rieger-Chu-2004
MGEA5	RBPJ	0.005263850930771875	Co-expression	Rieger-Chu-2004
MGEA5	SEC24B	0.006756286686551064	Co-expression	Rieger-Chu-2004
MGEA5	SETD2	0.009362991247487755	Co-expression	Rieger-Chu-2004
MGEA5	SLC11A2	0.008159575444700468	Co-expression	Rieger-Chu-2004
MGEA5	SNRNP200	0.0029153918442254333	Co-expression	Rieger-Chu-2004
MGEA5	SPEN	0.0034356283460753225	Co-expression	Rieger-Chu-2004
MGEA5	UPF3A	0.006310784818028198	Co-expression	Rieger-Chu-2004
MGEA5	ZFC3H1	0.0036567469542339664	Co-expression	Rieger-Chu-2004
MGEA5	ZNF292	0.007793042971684464	Co-expression	Rieger-Chu-2004
MLH3	SNAPC3	0.022477413893218792	Co-expression	Rieger-Chu-2004
MORC3	ABI1	0.005475353476535771	Co-expression	Rieger-Chu-2004
MORC3	ATM	0.008062212079873055	Co-expression	Rieger-Chu-2004
MORC3	ATXN2	0.00624494733940215	Co-expression	Rieger-Chu-2004
MORC3	C1orf63	0.007307250016764574	Co-expression	Rieger-Chu-2004
MORC3	CBLB	0.008269590802985657	Co-expression	Rieger-Chu-2004
MORC3	DMTF1	0.00618681551516612	Co-expression	Rieger-Chu-2004
MORC3	HIPK1	0.005714488273153453	Co-expression	Rieger-Chu-2004
MORC3	KDM6A	0.006910534172458691	Co-expression	Rieger-Chu-2004
MORC3	N4BP2L2	0.007219047226928378	Co-expression	Rieger-Chu-2004
MORC3	NR3C1	0.006460770662134534	Co-expression	Rieger-Chu-2004
MORC3	PNISR	0.004034936630353789	Co-expression	Rieger-Chu-2004
MORC3	PPFIA1	0.007993374835492843	Co-expression	Rieger-Chu-2004
MORC3	PPWD1	0.006269289524590075	Co-expression	Rieger-Chu-2004
MORC3	PRPSAP1	0.007793077670832157	Co-expression	Rieger-Chu-2004
MORC3	SCAF8	0.0070102057636883385	Co-expression	Rieger-Chu-2004
MORC3	TPP1	0.004138087910760638	Co-expression	Rieger-Chu-2004
MORC3	UPF3A	0.006077047938118689	Co-expression	Rieger-Chu-2004
MORC3	ZBTB5	0.005237141384014517	Co-expression	Rieger-Chu-2004
MORC3	ZFX	0.006941782954198892	Co-expression	Rieger-Chu-2004
MYOF	AUTS2	0.008632178325013127	Co-expression	Rieger-Chu-2004
MYOF	PALLD	0.02140366587304164	Co-expression	Rieger-Chu-2004
NBN	BIRC2	0.007661297638696199	Co-expression	Rieger-Chu-2004
NBN	ENPP2	0.012490718661381935	Co-expression	Rieger-Chu-2004
NBN	HIPK1	0.007018651340748902	Co-expression	Rieger-Chu-2004
NBN	PDE4B	0.006484897321630444	Co-expression	Rieger-Chu-2004
NBN	SEPT8	0.008052955715685388	Co-expression	Rieger-Chu-2004
NBN	VCAN	0.011952260219788796	Co-expression	Rieger-Chu-2004
NCOA6	SH3GLB1	0.01366754856367055	Co-expression	Rieger-Chu-2004
NEK4	SMC5	0.010875758748934065	Co-expression	Rieger-Chu-2004
NR3C1	DENND4A	0.009834289733079354	Co-expression	Rieger-Chu-2004
NR3C1	TNFAIP3	0.00799083544434611	Co-expression	Rieger-Chu-2004
NUDT21	AMD1	0.006742742778381433	Co-expression	Rieger-Chu-2004
NUDT21	CPSF6	0.011984097420878624	Co-expression	Rieger-Chu-2004
NUDT21	DDX21	0.005624333045358983	Co-expression	Rieger-Chu-2004
NUDT21	GNA13	0.009370884081787165	Co-expression	Rieger-Chu-2004
NUDT21	HNRNPA2B1	0.007792535679919585	Co-expression	Rieger-Chu-2004
NUDT21	PAPOLA	0.008384742123849948	Co-expression	Rieger-Chu-2004
NUDT21	RBM12	0.007574014620634089	Co-expression	Rieger-Chu-2004
NUP153	ADNP	0.003200463180825873	Co-expression	Rieger-Chu-2004
NUP153	AMD1	0.0034885149787250726	Co-expression	Rieger-Chu-2004
NUP153	BCLAF1	0.004088229389647676	Co-expression	Rieger-Chu-2004
NUP153	CEBPZ	0.0053647130448717	Co-expression	Rieger-Chu-2004
NUP153	CHD1	0.0035097410827059985	Co-expression	Rieger-Chu-2004
NUP153	CLIC4	0.005076273691703186	Co-expression	Rieger-Chu-2004
NUP153	CPSF6	0.005512186866173147	Co-expression	Rieger-Chu-2004
NUP153	DDX21	0.0035017265570294652	Co-expression	Rieger-Chu-2004
NUP153	HNRNPA2B1	0.004237808374029291	Co-expression	Rieger-Chu-2004
NUP153	KRIT1	0.0062258984847589245	Co-expression	Rieger-Chu-2004
NUP153	LUC7L3	0.003643706916786484	Co-expression	Rieger-Chu-2004
NUP153	NEK4	0.005854775949839512	Co-expression	Rieger-Chu-2004
NUP153	NSMAF	0.004380815290965623	Co-expression	Rieger-Chu-2004
NUP153	PAPOLA	0.004754458156936556	Co-expression	Rieger-Chu-2004
NUP153	PHKB	0.00436482631468454	Co-expression	Rieger-Chu-2004
NUP153	PNN	0.0070124621857292286	Co-expression	Rieger-Chu-2004
NUP153	PPIG	0.0022790282912525054	Co-expression	Rieger-Chu-2004
NUP153	PPP1CB	0.0052389838598850295	Co-expression	Rieger-Chu-2004
NUP153	PUM2	0.0034426067845249363	Co-expression	Rieger-Chu-2004
NUP153	RAP1A	0.005608440835715131	Co-expression	Rieger-Chu-2004
NUP153	RBM39	0.004274445298069864	Co-expression	Rieger-Chu-2004
NUP153	SCAF11	0.0061125647150252534	Co-expression	Rieger-Chu-2004
NUP153	SEC24A	0.0036376282125749632	Co-expression	Rieger-Chu-2004
NUP153	SF3B1	0.003532189965102846	Co-expression	Rieger-Chu-2004
NUP153	SMC5	0.003771254141624164	Co-expression	Rieger-Chu-2004
NUP153	SNRNP200	0.0019012339899282381	Co-expression	Rieger-Chu-2004
NUP153	SREK1	0.0036642600527903024	Co-expression	Rieger-Chu-2004
NUP153	SRSF1	0.0036264501998135947	Co-expression	Rieger-Chu-2004
NUP153	SRSF11	0.003628899422048362	Co-expression	Rieger-Chu-2004
NUP153	SRSF4	0.004363366995599832	Co-expression	Rieger-Chu-2004
NUP153	SSFA2	0.005523354127085934	Co-expression	Rieger-Chu-2004
NUP153	SUN1	0.004368045515893842	Co-expression	Rieger-Chu-2004
NUP153	TARDBP	0.004659103921632666	Co-expression	Rieger-Chu-2004
NUP153	TCERG1	0.0028795891658906867	Co-expression	Rieger-Chu-2004
NUP153	THUMPD1	0.006868498354269166	Co-expression	Rieger-Chu-2004
NUP153	TMX1	0.0044088785932034375	Co-expression	Rieger-Chu-2004
NUP153	UPF2	0.003726701413425849	Co-expression	Rieger-Chu-2004
NUP153	USP8	0.003336775361499019	Co-expression	Rieger-Chu-2004
OGT	DIDO1	0.012844969590995823	Co-expression	Rieger-Chu-2004
OGT	PNN	0.014226555742783996	Co-expression	Rieger-Chu-2004
OGT	PRPF4B	0.014414844070020217	Co-expression	Rieger-Chu-2004
OGT	ROCK1	0.005878869376348898	Co-expression	Rieger-Chu-2004
OGT	SETD2	0.013162707242827823	Co-expression	Rieger-Chu-2004
OGT	SLC35A3	0.012089296439719809	Co-expression	Rieger-Chu-2004
OGT	SPEN	0.004594274184450915	Co-expression	Rieger-Chu-2004
OGT	ZFC3H1	0.005573059923077003	Co-expression	Rieger-Chu-2004
PABPC1	LRBA	0.010376846583863505	Co-expression	Rieger-Chu-2004
PALLD	AUTS2	0.0073563644610836745	Co-expression	Rieger-Chu-2004
PALLD	SEPT8	0.009248575939530887	Co-expression	Rieger-Chu-2004
PAN2	PPWD1	0.015002528384181391	Co-expression	Rieger-Chu-2004
PAN2	SETD2	0.02467741414251763	Co-expression	Rieger-Chu-2004
PAXIP1	BCLAF1	0.008025625005312268	Co-expression	Rieger-Chu-2004
PAXIP1	DDX5	0.008647412717011962	Co-expression	Rieger-Chu-2004
PAXIP1	NUP153	0.004237202849466011	Co-expression	Rieger-Chu-2004
PAXIP1	PRPF4B	0.014188536228759954	Co-expression	Rieger-Chu-2004
PAXIP1	PUM2	0.007058739608184052	Co-expression	Rieger-Chu-2004
PAXIP1	SNRNP200	0.004145454393199957	Co-expression	Rieger-Chu-2004
PAXIP1	SPEN	0.004127642978584354	Co-expression	Rieger-Chu-2004
PAXIP1	TCERG1	0.005464360200081845	Co-expression	Rieger-Chu-2004
PAXIP1	THUMPD1	0.014996538627080858	Co-expression	Rieger-Chu-2004
PCF11	ABI1	0.00590421979170151	Co-expression	Rieger-Chu-2004
PCF11	ADNP	0.004391225035273822	Co-expression	Rieger-Chu-2004
PCF11	ATM	0.008297599368539785	Co-expression	Rieger-Chu-2004
PCF11	ATXN2	0.006696719979249828	Co-expression	Rieger-Chu-2004
PCF11	BTAF1	0.009895470683828943	Co-expression	Rieger-Chu-2004
PCF11	C6orf120	0.005151924675761565	Co-expression	Rieger-Chu-2004
PCF11	CHD1	0.005723961140473914	Co-expression	Rieger-Chu-2004
PCF11	CNOT2	0.005030965401781845	Co-expression	Rieger-Chu-2004
PCF11	CRLF3	0.005135004198417036	Co-expression	Rieger-Chu-2004
PCF11	DDX17	0.010226549424868702	Co-expression	Rieger-Chu-2004
PCF11	DIDO1	0.007551357543351078	Co-expression	Rieger-Chu-2004
PCF11	DMTF1	0.0062199004194117636	Co-expression	Rieger-Chu-2004
PCF11	FNBP4	0.0042968418873849746	Co-expression	Rieger-Chu-2004
PCF11	HIPK1	0.004963924204835088	Co-expression	Rieger-Chu-2004
PCF11	HNRNPH3	0.007603190250479672	Co-expression	Rieger-Chu-2004
PCF11	KIAA0907	0.008124072840685215	Co-expression	Rieger-Chu-2004
PCF11	LUC7L3	0.005981402914182716	Co-expression	Rieger-Chu-2004
PCF11	MAP3K7	0.008352344849193115	Co-expression	Rieger-Chu-2004
PCF11	MORC3	0.003596964721240717	Co-expression	Rieger-Chu-2004
PCF11	OGT	0.005411875539952916	Co-expression	Rieger-Chu-2004
PCF11	PNISR	0.004999543124303173	Co-expression	Rieger-Chu-2004
PCF11	PPWD1	0.0064219090828784246	Co-expression	Rieger-Chu-2004
PCF11	PTPRA	0.008862266907210864	Co-expression	Rieger-Chu-2004
PCF11	PUM1	0.0030448130673987844	Co-expression	Rieger-Chu-2004
PCF11	PUM2	0.004911807551159872	Co-expression	Rieger-Chu-2004
PCF11	RBM39	0.0062813648279875876	Co-expression	Rieger-Chu-2004
PCF11	SCAF8	0.007685937454601668	Co-expression	Rieger-Chu-2004
PCF11	SPEN	0.003144626387541548	Co-expression	Rieger-Chu-2004
PCF11	STRN3	0.008825598216344937	Co-expression	Rieger-Chu-2004
PCF11	TOP2B	0.0057484406560914456	Co-expression	Rieger-Chu-2004
PCF11	UPF3A	0.006118711351370992	Co-expression	Rieger-Chu-2004
PCF11	YTHDF3	0.009782787400934438	Co-expression	Rieger-Chu-2004
PCF11	ZFC3H1	0.003949087517916105	Co-expression	Rieger-Chu-2004
PCF11	ZFX	0.008465945948980147	Co-expression	Rieger-Chu-2004
PDE4B	HNMT	0.006000299288064243	Co-expression	Rieger-Chu-2004
PDE4B	RPS6KA2	0.009103206059508633	Co-expression	Rieger-Chu-2004
PDS5A	BTAF1	0.01325289863593116	Co-expression	Rieger-Chu-2004
PDS5A	CEP57	0.011229002914544439	Co-expression	Rieger-Chu-2004
PDS5A	NSMAF	0.011332764117998077	Co-expression	Rieger-Chu-2004
PDS5A	NUP153	0.003879895218172515	Co-expression	Rieger-Chu-2004
PDS5A	PCF11	0.005958717979837471	Co-expression	Rieger-Chu-2004
PDS5A	PHKB	0.009895452112454123	Co-expression	Rieger-Chu-2004
PDS5A	RAD21	0.005903138742198706	Co-expression	Rieger-Chu-2004
PDS5A	RBM39	0.008467902785421933	Co-expression	Rieger-Chu-2004
PDS5A	SEC24B	0.01103883692356962	Co-expression	Rieger-Chu-2004
PDS5A	SF3B1	0.007713614179010948	Co-expression	Rieger-Chu-2004
PDS5A	TOP2B	0.009162047994471414	Co-expression	Rieger-Chu-2004
PDS5A	ZBTB11	0.008630453142036226	Co-expression	Rieger-Chu-2004
PDS5A	ZFC3H1	0.004367266984312481	Co-expression	Rieger-Chu-2004
PDS5A	ZNF217	0.007059148178430139	Co-expression	Rieger-Chu-2004
PHF3	RBPJ	0.01348102060727931	Co-expression	Rieger-Chu-2004
PHF3	ZFC3H1	0.007677640448539682	Co-expression	Rieger-Chu-2004
PHKB	PAPOLA	0.011650932821214106	Co-expression	Rieger-Chu-2004
PHKB	SEC24A	0.010156783611747381	Co-expression	Rieger-Chu-2004
PHKB	TMX1	0.014137956600711465	Co-expression	Rieger-Chu-2004
PIK3R1	EFEMP1	0.009314948078263658	Co-expression	Rieger-Chu-2004
PIK3R1	NEK1	0.013309252984108556	Co-expression	Rieger-Chu-2004
PIK3R1	PDE4B	0.005753807294694655	Co-expression	Rieger-Chu-2004
PIK3R1	SAT1	0.01316650166793622	Co-expression	Rieger-Chu-2004
PIK3R1	SLC26A2	0.010418133682415462	Co-expression	Rieger-Chu-2004
PIK3R1	SMAD5	0.0067931826323983655	Co-expression	Rieger-Chu-2004
PIK3R1	TCF12	0.005148833519294459	Co-expression	Rieger-Chu-2004
PIK3R1	TGOLN2	0.013738508809425166	Co-expression	Rieger-Chu-2004
PLOD2	TMX1	0.012177029569261161	Co-expression	Rieger-Chu-2004
PLSCR1	TCF12	0.006666309352978573	Co-expression	Rieger-Chu-2004
PNISR	GSAP	0.008935845716815405	Co-expression	Rieger-Chu-2004
PNISR	HIPK1	0.005059497386873723	Co-expression	Rieger-Chu-2004
PNISR	IFRD1	0.010403055680941445	Co-expression	Rieger-Chu-2004
