,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TARDBP,Hsa2 MR for TARDBP,Hsa3 MR for TARDBP,Mcc MR for TARDBP,Mmu MR for Tardbp,Mmu2 MR for Tardbp,Cfa MR for TARDBP,Gga MR for TARDBP,Dre MR for tardbp
343,PRC1,"protein regulator of cytokinesis 1",9055,3,410.6,1258.9 ,251.4 ,,543.9 ,964.4 ,715.0 ,1996.0 ,3239.6 
344,EWSR1,"EWS RNA-binding protein 1",2130,3,410.9,25.1 ,670.3 ,,,,,,2.5 
345,SRP68,"signal recognition particle 68kDa",6730,3,411.5,476.9 ,281.8 ,597.0 ,2626.4 ,1777.5 ,2190.1 ,878.1 ,1067.4 
346,FUS,"FUS RNA binding protein",2521,3,411.6,47.4 ,26.3 ,20.5 ,,,,3191.9 ,981.5 
347,UBE2D2,"ubiquitin-conjugating enzyme E2D 2",7322,3,412.9,2664.4 ,2438.3 ,1081.6 ,1849.1 ,4354.5 ,4073.9 ,75.2 ,1436.5 
348,UBFD1,"ubiquitin family domain containing 1",56061,3,414.8,4001.4 ,1078.5 ,87.5 ,435.7 ,353.4 ,2028.0 ,1257.9 ,6788.2 
349,SUPV3L1,"suppressor of var1, 3-like 1 (S. cerevisiae)",6832,3,415.5,1771.3 ,446.4 ,2323.1 ,2552.5 ,2901.5 ,174.2 ,831.7 ,4775.6 
350,DNAJC8,"DnaJ (Hsp40) homolog, subfamily C, member 8",22826,3,416.2,2245.5 ,1152.5 ,252.8 ,76.9 ,175.5 ,461.7 ,54.5 ,
351,GORASP2,"golgi reassembly stacking protein 2, 55kDa",26003,3,417.2,7740.4 ,393.5 ,2435.5 ,552.5 ,12821.0 ,1357.0 ,11662.8 ,327.5 
352,UBE2K,"ubiquitin-conjugating enzyme E2K",3093,0,418.8,758.8 ,215.0 ,3991.4 ,517.5 ,692.2 ,875.0 ,189.2 ,771.8 
353,BAZ1B,"bromodomain adjacent to zinc finger domain, 1B",9031,3,420.1,206.8 ,932.0 ,146.4 ,540.6 ,411.8 ,7946.9 ,18.6 ,
354,CPSF3,"cleavage and polyadenylation specific factor 3, 73kDa",51692,3,420.8,1409.6 ,2560.1 ,256.2 ,1317.3 ,830.9 ,,406.5 ,316.7 
355,PLRG1,"pleiotropic regulator 1",5356,3,421.1,496.9 ,1768.7 ,901.8 ,370.9 ,954.9 ,199.1 ,1345.7 ,940.1 
356,CEP85,"centrosomal protein 85kDa",64793,3,423.0,1015.1 ,762.4 ,3678.3 ,1235.3 ,3760.6 ,499.4 ,5044.4 ,6255.4 
357,TIMM21,"translocase of inner mitochondrial membrane 21 homolog (yeast)",29090,3,423.5,968.5 ,786.2 ,864.7 ,149.8 ,719.9 ,333.0 ,728.2 ,6578.7 
358,PALB2,"partner and localizer of BRCA2",79728,3,426.6,2746.5 ,850.0 ,1556.5 ,667.8 ,949.1 ,,3883.3 ,3390.9 
359,UBR7,"ubiquitin protein ligase E3 component n-recognin 7 (putative)",55148,3,427.6,1536.0 ,470.8 ,,338.2 ,982.0 ,528.0 ,93.2 ,970.8 
360,HMGB1,"high mobility group box 1",3146,3,429.3,122.7 ,131.0 ,432.9 ,,,248.0 ,683.5 ,1994.3 
361,TIAL1,"TIA1 cytotoxic granule-associated RNA binding protein-like 1",7073,2,429.4,652.4 ,147.1 ,,386.4 ,175.6 ,312.1 ,29.0 ,2911.6 
362,CEP76,"centrosomal protein 76kDa",79959,3,429.6,2492.1 ,830.6 ,,1144.4 ,1210.7 ,453.8 ,690.0 ,
363,UBE3A,"ubiquitin protein ligase E3A",7337,2,429.9,274.5 ,2694.7 ,2318.8 ,842.8 ,2142.1 ,1907.8 ,28.3 ,
364,BTBD1,"BTB (POZ) domain containing 1",53339,3,429.9,2148.7 ,2847.8 ,795.9 ,1587.4 ,9965.8 ,1076.0 ,776.3 ,
365,LRRC58,"leucine rich repeat containing 58",116064,3,431.6,5029.2 ,5566.4 ,1976.8 ,697.4 ,6113.5 ,151.1 ,12997.9 ,
366,TAF11,"TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa",6882,3,432.4,724.6 ,2541.7 ,660.6 ,483.9 ,5929.9 ,1507.6 ,1432.6 ,649.7 
367,C3orf17,"chromosome 3 open reading frame 17",25871,3,433.8,1577.2 ,1443.4 ,1344.7 ,1236.0 ,2017.9 ,692.7 ,1463.8 ,7272.3 
368,LEMD3,"LEM domain containing 3",23592,3,434.0,534.0 ,2361.7 ,1221.7 ,1157.7 ,7001.3 ,2272.1 ,309.0 ,340.9 
369,TRRAP,"transformation/transcription domain-associated protein",8295,3,436.3,2613.5 ,3079.7 ,151.1 ,2065.1 ,1873.2 ,613.8 ,322.9 ,162.8 
370,RNF114,"ring finger protein 114",55905,3,437.4,2772.1 ,3162.1 ,,2116.6 ,12371.8 ,19.2 ,475.8 ,
371,BUB1B,"BUB1 mitotic checkpoint serine/threonine kinase B",701,3,438.4,1305.5 ,422.0 ,,574.4 ,780.8 ,413.1 ,2074.3 ,7099.1 
372,TTC4,"tetratricopeptide repeat domain 4",7268,3,438.7,975.9 ,3067.3 ,3346.6 ,182.4 ,984.5 ,670.5 ,1411.2 ,2417.3 
373,XRCC6,"X-ray repair complementing defective repair in Chinese hamster cells 6",2547,3,438.7,230.8 ,1275.0 ,47.9 ,489.8 ,420.7 ,50.6 ,1914.8 ,2396.9 
374,LIN52,"lin-52 DREAM MuvB core complex component",91750,3,439.6,2466.2 ,3413.4 ,2288.5 ,4026.8 ,1999.5 ,,1131.4 ,1288.2 
375,DNAJC9,"DnaJ (Hsp40) homolog, subfamily C, member 9",23234,3,439.9,1495.0 ,268.8 ,40.2 ,132.9 ,884.4 ,208.9 ,887.5 ,1346.1 
376,EPT1,"ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific)",85465,3,441.0,590.8 ,601.8 ,1580.1 ,549.4 ,550.5 ,,1611.2 ,
377,KIAA0020,"KIAA0020",9933,3,441.1,712.0 ,1349.7 ,46.9 ,324.4 ,531.8 ,268.7 ,266.3 ,
378,U2SURP,"U2 snRNP-associated SURP domain containing",23350,3,442.3,157.8 ,147.5 ,59.3 ,148.2 ,6.5 ,398.0 ,2296.6 ,2080.1 
379,FIP1L1,"factor interacting with PAPOLA and CPSF1",81608,2,442.5,1467.8 ,3747.1 ,,,,,,
380,MCM7,"minichromosome maintenance complex component 7",4176,3,443.1,758.4 ,744.8 ,,470.6 ,481.3 ,191.8 ,,280.5 
381,ZMYM4,"zinc finger, MYM-type 4",9202,3,448.5,1682.6 ,827.2 ,799.4 ,1091.5 ,141.5 ,1241.0 ,1589.1 ,3180.4 
382,MAPK1IP1L,"mitogen-activated protein kinase 1 interacting protein 1-like",93487,3,449.7,4347.5 ,5860.6 ,,163.3 ,892.8 ,4944.8 ,49.6 ,
383,ZDHHC6,"zinc finger, DHHC-type containing 6",64429,3,450.1,588.4 ,433.4 ,304.2 ,782.5 ,2039.0 ,1605.9 ,327.1 ,6345.0 
384,LMNB2,"lamin B2",84823,3,453.1,4476.4 ,3339.0 ,,952.8 ,2431.9 ,7320.4 ,493.7 ,4019.9 
385,USP22,"ubiquitin specific peptidase 22",23326,2,454.0,8157.7 ,6527.8 ,,1334.6 ,1712.7 ,1741.5 ,3684.8 ,
386,RDH14,"retinol dehydrogenase 14 (all-trans/9-cis/11-cis)",57665,3,455.4,3147.6 ,4599.5 ,865.5 ,564.4 ,18773.7 ,,3762.4 ,
387,SMC1A,"structural maintenance of chromosomes 1A",8243,3,455.9,450.8 ,127.4 ,282.4 ,1067.5 ,59.2 ,517.0 ,11562.4 ,278.7 
388,CCT5,"chaperonin containing TCP1, subunit 5 (epsilon)",22948,3,456.5,519.2 ,573.3 ,276.3 ,252.8 ,307.8 ,411.4 ,24.7 ,187.3 
389,PANK2,"pantothenate kinase 2",80025,2,457.9,143.7 ,2471.7 ,,1310.4 ,6237.0 ,648.6 ,1176.0 ,2460.2 
390,CDC7,"cell division cycle 7",8317,3,458.9,683.3 ,173.2 ,,107.6 ,206.7 ,210.4 ,2809.8 ,3714.7 
391,NUP93,"nucleoporin 93kDa",9688,3,459.2,987.8 ,2282.9 ,316.5 ,350.1 ,428.2 ,15.6 ,380.1 ,399.7 
392,BARD1,"BRCA1 associated RING domain 1",580,3,459.6,1202.1 ,3095.6 ,1585.9 ,1930.2 ,859.5 ,522.9 ,1750.7 ,
393,XRCC5,"X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)",7520,3,460.6,230.1 ,405.4 ,453.5 ,1150.6 ,259.0 ,560.1 ,1020.7 ,2057.3 
394,HIF1AN,"hypoxia inducible factor 1, alpha subunit inhibitor",55662,3,461.4,1085.2 ,1685.7 ,2611.2 ,5007.8 ,2353.4 ,658.3 ,670.7 ,2737.8 
395,ISG20L2,"interferon stimulated exonuclease gene 20kDa-like 2",81875,2,461.4,4418.5 ,4818.9 ,137.8 ,167.7 ,2127.8 ,928.9 ,1705.1 ,
396,PAICS,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",10606,3,462.3,1745.5 ,243.9 ,,526.7 ,181.0 ,,321.4 ,2354.5 
397,IMMT,"inner membrane protein, mitochondrial",10989,3,462.5,1623.8 ,473.9 ,,267.1 ,1279.2 ,105.2 ,246.7 ,6595.4 
398,PPP1R12A,"protein phosphatase 1, regulatory subunit 12A",4659,3,463.1,3585.2 ,3215.4 ,1993.1 ,1184.4 ,2694.4 ,1475.3 ,612.6 ,9982.0 
399,NAE1,"NEDD8 activating enzyme E1 subunit 1",8883,3,464.9,925.9 ,419.0 ,,,87.5 ,1091.9 ,171.8 ,2313.9 
400,ACTR3,"ARP3 actin-related protein 3 homolog (yeast)",10096,3,466.9,512.8 ,2625.4 ,,829.8 ,2411.0 ,,1062.3 ,4599.0 
401,ANP32B,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",10541,3,468.2,2215.7 ,63.4 ,240.8 ,,,405.6 ,,282.7 
402,NGLY1,"N-glycanase 1",55768,1,469.8,274.9 ,6538.6 ,33.0 ,4125.9 ,18343.8 ,,882.6 ,1528.5 
403,LOC93622,"Morf4 family associated protein 1-like 1 pseudogene",93622,2,470.2,435.6 ,1009.3 ,,,,,,
404,USP37,"ubiquitin specific peptidase 37",57695,3,470.6,1916.1 ,2888.3 ,,524.3 ,261.8 ,69.7 ,7101.7 ,1321.1 
405,POU2F1,"POU class 2 homeobox 1",5451,2,470.7,9049.2 ,4115.7 ,1305.8 ,5030.9 ,546.0 ,1846.5 ,1481.4 ,175.4 
406,NOP58,"NOP58 ribonucleoprotein",51602,3,471.0,127.6 ,197.2 ,,109.4 ,75.0 ,,423.1 ,
407,QSER1,"glutamine and serine rich 1",79832,3,471.0,2960.9 ,1794.3 ,,619.2 ,1145.4 ,690.9 ,8652.6 ,
408,CCT7,"chaperonin containing TCP1, subunit 7 (eta)",10574,3,471.6,767.7 ,2675.6 ,1657.8 ,282.6 ,549.8 ,,103.7 ,648.5 
409,TMEM41A,"transmembrane protein 41A",90407,3,473.5,3242.1 ,3949.7 ,2531.7 ,3328.9 ,12457.4 ,2040.6 ,1254.2 ,5473.3 
410,KPNA1,"karyopherin alpha 1 (importin alpha 5)",3836,3,474.2,1251.6 ,3203.3 ,681.2 ,355.3 ,2361.1 ,125.9 ,447.4 ,
411,FIGNL1,"fidgetin-like 1",63979,3,475.7,905.5 ,652.0 ,2065.0 ,230.0 ,360.2 ,1033.9 ,1937.5 ,6193.7 
412,HMGCR,"3-hydroxy-3-methylglutaryl-CoA reductase",3156,3,476.2,1169.8 ,1232.4 ,988.7 ,390.1 ,1384.7 ,435.8 ,1937.0 ,
413,HDAC2,"histone deacetylase 2",3066,3,478.7,585.4 ,436.1 ,,9.2 ,58.6 ,285.5 ,382.6 ,2.8 
414,ILF2,"interleukin enhancer binding factor 2",3608,3,478.7,1241.5 ,508.8 ,,165.2 ,96.8 ,228.1 ,239.0 ,9.2 
415,ZBED4,"zinc finger, BED-type containing 4",9889,3,479.4,2091.7 ,1909.8 ,211.2 ,,,571.3 ,891.6 ,6019.7 
416,SMC3,"structural maintenance of chromosomes 3",9126,3,480.8,361.1 ,369.1 ,587.3 ,139.3 ,46.0 ,283.7 ,444.4 ,386.6 
417,TAF1A,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa",9015,3,481.0,917.8 ,5211.5 ,588.0 ,780.3 ,1176.2 ,1418.7 ,819.2 ,4316.2 
418,BCLAF1,"BCL2-associated transcription factor 1",9774,3,481.5,152.3 ,248.3 ,,385.7 ,27.3 ,119.1 ,,
419,WAPAL,"wings apart-like homolog (Drosophila)",23063,3,482.4,371.5 ,869.7 ,76.8 ,1348.6 ,1544.7 ,211.4 ,5518.6 ,
420,SLTM,"SAFB-like, transcription modulator",79811,3,483.0,148.5 ,121.0 ,177.3 ,1359.8 ,99.7 ,411.1 ,1610.2 ,442.4 
421,ZNF263,"zinc finger protein 263",10127,3,483.0,1365.1 ,5824.2 ,964.4 ,287.8 ,5893.0 ,1217.8 ,,
422,CREBZF,"CREB/ATF bZIP transcription factor",58487,3,483.9,45.2 ,408.6 ,542.1 ,88.5 ,1986.5 ,1227.5 ,,
423,HSPH1,"heat shock 105kDa/110kDa protein 1",10808,3,485.1,687.4 ,279.3 ,670.6 ,139.0 ,191.3 ,80.3 ,700.3 ,
424,BRD8,"bromodomain containing 8",10902,2,486.0,763.7 ,99.8 ,530.7 ,516.7 ,314.9 ,1448.3 ,615.2 ,381.7 
425,TRAF3,"TNF receptor-associated factor 3",7187,3,486.7,3485.5 ,7555.6 ,1221.7 ,2730.6 ,11008.9 ,3097.1 ,4458.7 ,
426,STRIP1,"striatin interacting protein 1",85369,3,488.2,1630.1 ,3476.0 ,,5352.8 ,10522.9 ,1447.0 ,11634.0 ,1101.5 
427,ATR,"ATR serine/threonine kinase",545,3,489.7,439.4 ,7763.7 ,,1257.3 ,186.2 ,,1624.8 ,
428,CUL2,"cullin 2",8453,3,490.7,1807.0 ,1735.1 ,5267.3 ,1210.8 ,248.3 ,58.9 ,3128.8 ,
429,MTOR,"mechanistic target of rapamycin (serine/threonine kinase)",2475,3,490.7,1996.1 ,2356.0 ,,11067.4 ,6139.0 ,2838.0 ,1300.9 ,3012.6 
430,SSB,"Sjogren syndrome antigen B (autoantigen La)",6741,3,492.7,398.2 ,344.7 ,345.6 ,93.6 ,24.7 ,616.9 ,1560.8 ,537.8 
431,WRN,"Werner syndrome, RecQ helicase-like",7486,3,494.1,1067.6 ,432.6 ,1477.5 ,2283.7 ,1431.5 ,157.6 ,5742.6 ,
432,CDV3,"CDV3 homolog (mouse)",55573,3,494.2,917.1 ,1206.5 ,44.0 ,537.6 ,538.5 ,,87.1 ,226.0 
433,PRPF4,"pre-mRNA processing factor 4",9128,3,494.5,396.0 ,1657.6 ,,289.4 ,206.6 ,462.6 ,10928.6 ,765.5 
434,UBR5,"ubiquitin protein ligase E3 component n-recognin 5",51366,3,494.6,412.8 ,904.9 ,,1582.7 ,230.6 ,135.7 ,8704.6 ,258.6 
435,HSPD1,"heat shock 60kDa protein 1 (chaperonin)",3329,3,494.7,398.8 ,156.8 ,,61.4 ,73.3 ,366.4 ,,804.6 
436,TOP1,"topoisomerase (DNA) I",7150,2,494.8,2694.5 ,491.9 ,1534.0 ,728.0 ,306.8 ,37.1 ,5155.1 ,797.4 
437,PSMA3,"proteasome (prosome, macropain) subunit, alpha type, 3",5684,3,494.8,820.9 ,446.7 ,529.3 ,2209.5 ,1029.2 ,1443.1 ,121.0 ,
438,MGME1,"mitochondrial genome maintenance exonuclease 1",92667,3,496.4,547.2 ,224.6 ,,2079.2 ,1794.3 ,,1216.8 ,
439,MRFAP1L1,"Morf4 family associated protein 1-like 1",114932,3,497.5,146.4 ,1228.5 ,410.0 ,,,,,
440,NIPA2,"non imprinted in Prader-Willi/Angelman syndrome 2",81614,3,497.6,1072.1 ,2854.5 ,487.8 ,544.5 ,8404.7 ,1092.1 ,1169.5 ,5084.9 
441,METTL3,"methyltransferase like 3",56339,3,497.8,91.3 ,80.3 ,407.7 ,54.5 ,1346.2 ,367.9 ,,634.0 
442,LARP4B,"La ribonucleoprotein domain family, member 4B",23185,3,498.3,1084.4 ,2360.3 ,,1185.4 ,2127.1 ,98.3 ,4852.2 ,
443,PSME4,"proteasome (prosome, macropain) activator subunit 4",23198,2,498.6,1641.0 ,334.8 ,,944.4 ,801.4 ,1169.3 ,320.0 ,
444,PSMD6,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6",9861,3,499.4,231.2 ,1156.1 ,1000.6 ,385.2 ,1484.9 ,2053.6 ,79.8 ,324.9 
445,UNG,"uracil-DNA glycosylase",7374,3,500.5,2689.1 ,803.4 ,625.8 ,356.4 ,1179.8 ,2342.3 ,1165.2 ,3635.5 
446,CEP135,"centrosomal protein 135kDa",9662,3,501.0,974.5 ,4090.0 ,,2703.7 ,2193.6 ,755.6 ,5986.0 ,2246.2 
447,POLD3,"polymerase (DNA-directed), delta 3, accessory subunit",10714,3,501.6,1126.0 ,386.9 ,91.2 ,268.1 ,371.2 ,447.0 ,1570.5 ,3200.9 
448,NOP14,"NOP14 nucleolar protein",8602,3,502.7,1251.9 ,3859.0 ,,1497.5 ,352.9 ,1867.1 ,589.1 ,1293.6 
449,RRP1B,"ribosomal RNA processing 1B",23076,3,503.4,1140.2 ,1046.4 ,4846.4 ,743.3 ,299.1 ,1867.5 ,122.0 ,
450,PSMC5,"proteasome (prosome, macropain) 26S subunit, ATPase, 5",5705,3,504.6,90.0 ,361.8 ,432.0 ,606.4 ,524.8 ,1733.0 ,303.6 ,456.7 
451,PRKX,"protein kinase, X-linked",5613,3,506.2,3017.1 ,10313.0 ,,4556.5 ,12828.6 ,10076.0 ,6624.2 ,
452,SYNCRIP,"synaptotagmin binding, cytoplasmic RNA interacting protein",10492,3,506.4,114.7 ,299.2 ,145.9 ,95.3 ,256.4 ,218.9 ,,
453,ZNF24,"zinc finger protein 24",7572,3,506.7,1100.5 ,251.4 ,,953.4 ,545.7 ,2652.3 ,,
454,WDR36,"WD repeat domain 36",134430,3,509.3,373.6 ,1811.3 ,,527.8 ,412.2 ,288.7 ,838.8 ,1289.9 
455,SRRT,"serrate, RNA effector molecule",51593,3,510.1,1335.0 ,1578.7 ,109.5 ,641.6 ,492.0 ,66.7 ,,295.6 
456,WDR33,"WD repeat domain 33",55339,2,510.3,132.5 ,1394.4 ,1786.8 ,238.3 ,2416.6 ,,1416.1 ,3517.8 
457,CEBPZ,"CCAAT/enhancer binding protein (C/EBP), zeta",10153,3,510.9,603.7 ,560.5 ,1603.3 ,330.9 ,18.0 ,1262.8 ,230.3 ,666.0 
458,FASTKD2,"FAST kinase domains 2",22868,3,511.4,437.0 ,3867.8 ,1837.2 ,657.2 ,918.9 ,430.9 ,102.3 ,4635.8 
459,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor",55164,3,513.0,591.0 ,3184.3 ,503.2 ,1656.6 ,2614.8 ,665.9 ,1666.4 ,
460,PAXBP1,"PAX3 and PAX7 binding protein 1",94104,3,513.7,413.2 ,331.5 ,1393.4 ,149.9 ,371.9 ,296.1 ,1747.4 ,3306.1 
461,AAGAB,"alpha- and gamma-adaptin binding protein",79719,3,513.7,871.4 ,2260.2 ,2825.8 ,4500.8 ,12926.8 ,87.0 ,4787.1 ,3554.9 
462,CDC123,"cell division cycle 123",8872,3,514.9,1397.8 ,1935.0 ,,229.3 ,736.5 ,1056.5 ,1755.7 ,4782.5 
463,WDR3,"WD repeat domain 3",10885,3,515.0,529.1 ,1169.9 ,426.8 ,119.6 ,310.1 ,204.4 ,228.7 ,1701.7 
464,HELLS,"helicase, lymphoid-specific",3070,3,516.5,550.7 ,2529.1 ,965.3 ,113.7 ,170.0 ,216.4 ,,
465,FBXL14,"F-box and leucine-rich repeat protein 14",144699,1,518.8,17866.8 ,10836.4 ,6459.6 ,1027.0 ,6204.8 ,4593.2 ,5540.4 ,326.4 1661.9 
466,SPIN1,"spindlin 1",10927,3,518.8,3092.0 ,3362.4 ,,,3190.8 ,52.1 ,7186.9 2583.3 ,
467,PPWD1,"peptidylprolyl isomerase domain and WD repeat containing 1",23398,3,520.3,252.7 ,460.6 ,113.1 ,680.9 ,62.7 ,360.4 ,1818.3 ,502.9 
468,SSRP1,"structure specific recognition protein 1",6749,3,520.8,890.8 ,513.5 ,14.2 ,249.2 ,63.2 ,533.8 ,1194.9 ,
469,BANP,"BTG3 associated nuclear protein",54971,2,520.9,13813.4 ,16224.6 ,369.0 ,4037.2 ,6059.7 ,4302.8 ,178.9 ,
470,KPNA3,"karyopherin alpha 3 (importin alpha 4)",3839,3,520.9,3970.8 ,1448.9 ,6344.1 ,101.0 ,139.4 ,1450.2 ,93.7 ,1305.3 
471,PSMC1,"proteasome (prosome, macropain) 26S subunit, ATPase, 1",5700,3,521.1,,1266.6 ,,491.4 ,451.4 ,,75.0 ,686.9 
472,KANSL3,"KAT8 regulatory NSL complex subunit 3",55683,2,522.3,4135.0 ,3326.2 ,321.4 ,1935.9 ,8307.8 ,1400.9 ,3186.9 ,655.3 
473,SRSF10,"serine/arginine-rich splicing factor 10",10772,3,525.4,14.7 ,323.1 ,,10.5 ,54.1 ,34.6 ,187.8 ,
474,SPDL1,"spindle apparatus coiled-coil protein 1",54908,3,526.1,1678.5 ,374.6 ,1605.8 ,743.2 ,795.5 ,378.1 ,788.7 ,1983.2 
475,NOP56,"NOP56 ribonucleoprotein",10528,3,526.4,627.0 ,496.6 ,210.2 ,250.9 ,166.8 ,221.1 ,1103.1 ,
476,NUP50,"nucleoporin 50kDa",10762,2,527.9,833.1 ,2930.2 ,7585.3 ,497.9 ,1253.4 ,5645.3 ,969.9 ,97.5 
477,ADPRHL2,"ADP-ribosylhydrolase like 2",54936,2,528.1,10293.0 ,11603.0 ,3693.0 ,4137.1 ,12174.3 ,3919.9 ,246.2 ,1940.4 
478,SNHG1,"small nucleolar RNA host gene 1 (non-protein coding)",23642,3,528.1,,53.1 ,,,,,,
479,IKBKAP,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein",8518,3,528.6,359.9 ,994.2 ,295.9 ,1941.3 ,18.4 ,1609.9 ,2728.6 ,3700.4 
480,RFC3,"replication factor C (activator 1) 3, 38kDa",5983,3,529.7,414.8 ,167.8 ,4637.4 ,538.5 ,627.7 ,322.9 ,3664.8 ,2806.6 
481,ZNF830,"zinc finger protein 830",91603,3,532.3,422.9 ,915.5 ,49.8 ,678.4 ,4043.2 ,1667.2 ,1364.5 ,1346.4 
482,SOCS4,"suppressor of cytokine signaling 4",122809,3,532.4,2144.0 ,2935.0 ,3773.4 ,703.5 ,3473.9 ,,2910.2 ,
483,PARP1,"poly (ADP-ribose) polymerase 1",142,3,532.9,281.0 ,377.5 ,115.9 ,434.7 ,371.7 ,997.6 ,455.6 ,
484,SNW1,"SNW domain containing 1",22938,3,533.6,328.1 ,622.9 ,13.9 ,394.2 ,270.1 ,1774.8 ,75.9 ,
485,DDX21,"DEAD (Asp-Glu-Ala-Asp) box helicase 21",9188,3,534.5,483.1 ,682.9 ,,52.5 ,116.7 ,757.7 ,520.9 ,6540.1 
486,SNRPG,"small nuclear ribonucleoprotein polypeptide G",6637,3,536.0,1356.5 ,1492.2 ,,,,,313.5 ,754.2 
487,TSR1,"TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)",55720,3,541.0,587.7 ,986.5 ,860.1 ,284.5 ,110.6 ,102.5 ,,578.4 
488,RBM14,"RNA binding motif protein 14",10432,1,541.1,606.3 ,2256.5 ,,107.5 ,3756.5 ,28.2 ,25.2 ,
489,SASS6,"spindle assembly 6 homolog (C. elegans)",163786,3,541.1,2754.0 ,804.8 ,,737.5 ,465.3 ,719.7 ,1483.6 ,2081.7 
490,DDX17,"DEAD (Asp-Glu-Ala-Asp) box helicase 17",10521,3,542.1,174.9 ,133.4 ,,136.6 ,148.4 ,76.2 ,844.6 ,6642.3 
491,LARP4,"La ribonucleoprotein domain family, member 4",113251,3,544.7,917.6 ,955.4 ,,226.9 ,263.4 ,2108.8 ,794.4 ,
492,GLOD4,"glyoxalase domain containing 4",51031,3,548.6,62.4 ,948.7 ,4241.5 ,1281.5 ,986.0 ,2456.8 ,,6950.2 
493,PPP2CA,"protein phosphatase 2, catalytic subunit, alpha isozyme",5515,3,549.0,362.9 ,742.5 ,,780.8 ,139.2 ,1603.8 ,227.4 ,1595.4 
494,AGO1,"argonaute RISC catalytic component 1",26523,2,549.3,5190.7 ,5784.6 ,,1483.3 ,517.1 ,4565.4 ,6373.2 ,
495,AHSA1,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)",10598,3,549.9,597.4 ,3247.6 ,184.2 ,753.7 ,1584.8 ,611.2 ,100.8 ,859.0 
496,API5,"apoptosis inhibitor 5",8539,2,551.0,415.0 ,93.8 ,247.0 ,65.8 ,52.6 ,31.8 ,44.0 ,28.6 
497,NUP43,"nucleoporin 43kDa",348995,3,551.3,746.9 ,3608.0 ,7448.4 ,859.6 ,423.5 ,529.9 ,337.0 ,1622.2 
498,SF3A3,"splicing factor 3a, subunit 3, 60kDa",10946,3,552.5,859.9 ,514.0 ,,59.2 ,189.1 ,163.0 ,156.7 ,210.6 
499,CSTF3,"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa",1479,3,553.2,81.4 ,218.6 ,,631.3 ,23.0 ,98.0 ,863.8 ,649.7 
500,QSOX2,"quiescin Q6 sulfhydryl oxidase 2",169714,3,554.0,3963.7 ,1355.1 ,,1664.1 ,14660.6 ,947.4 ,8077.6 ,

