GWASCentralALS,NeuroXFDR.05,NeuroXGWS,GWASCentralAD,Subnetwork28,Exac,Cirulli,ADMalacards,ALSMalacards,Pasterkamp,Taylor,ALSOD,ParkinsonsMalacards
KDSR,,,,,ZNF131,,,,,,,
SIGLEC12,,,,,PTPN12,,,,,,,
ZNF99,,,,,SF3B2,,,,,,,
ZNF567,,,,,CSK,,,,,,,
LOC386758,,,,,OPHN1,,,,,,,
OR7D2,,,,,EML1,,,,,,,
RNF126,,,,,SCAI,,,,,,,
LOC100505495,,,,,SALL4,,,,,,,
LOC148189,,,,,GGA1,,,,,,,
RGS9BP,,,,,KIAA1429,,,,,,,
GNG7,,,,,SLC12A2,,,,,,,
CELF5,,,,,GRIA1,,,,,,,
PTPRS,,,,,LIN54,,,,,,,
KDM4B,,,,,PPP2R5E,,,,,,,
SPINT3,,,,,AHDC1,,,,,,,
SLC9A8,,,,,SOS2,,,,,,,
MIR4533,,,,,SFSWAP,,,,,,,
SLCO4A1,,,,,LCK,,,,,,,
PPP1R16B,,,,,TRIM39,,,,,,,
ZFP64,,,,,HELLS,,,,,,,
DTD1,,,,,MYO18A,,,,,,,
NTSR1,,,,,ASTN1,,,,,,,
SPTLC3,,,,,KIF21B,,,,,,,
PTPRT,,,,,CUL4A,,,,,,,
CENPB,,,,,SVIL,,,,,,,
SALL4,,,,,SOX5,,,,,,,
CST5,,,,,HDAC2,,,,,,,
MC3R,,,,,RNF38,,,,,,,
CHD6,,,,,KIAA0922,,,,,,,
C20orf27,,,,,TNS3,,,,,,,
PLCB1;PLCB1,,,,,ADAM22,,,,,,,
CDH4,,,,,SYNCRIP,,,,,,,
FERMT1,,,,,SEMA4C,,,,,,,
PREX1,,,,,SUGP2,,,,,,,
PLCB1,,,,,REPS1,,,,,,,
DHX35,,,,,CARM1,,,,,,,
GCNT7,,,,,AGAP1,,,,,,,
ACTR5,,,,,KCNQ2,,,,,,,
SPEF1,,,,,CBFA2T2,,,,,,,
WFDC8,,,,,MTM1,,,,,,,
NCRNA00308,,,,,GTF2I,,,,,,,
ERG,,,,,CACTIN,,,,,,,
C21orf49,,,,,VCPIP1,,,,,,,
DSCAM,,,,,KIF2A,,,,,,,
NCRNA00313,,,,,SLMAP,,,,,,,
B3GALT5,,,,,PACS2,,,,,,,
TTC3,,,,,EXT1,,,,,,,
APP,,,,,AAK1,,,,,,,
NCRNA00310,,,,,RARB,,,,,,,
TMPRSS15,,,,,PHF15,,,,,,,
HUNK,,,,,WDTC1,,,,,,,
OSBP2,,,,,CDC23,,,,,,,
LARGE,,,,,GIT1,,,,,,,
ADRBK2,,,,,GLS,,,,,,,
FAM19A5,,,,,SLC6A1,,,,,,,
TTC38,,,,,ARHGAP44,,,,,,,
RTN4R,,,,,CMTR1,,,,,,,
SNRPD3,,,,,PSMD3,,,,,,,
ARHGAP8,,,,,HNF1B,,,,,,,
PARVB,,,,,INTS5,,,,,,,
MYO18B,,,,,RPL4,,,,,,,
UPB1,,,,,THSD7A,,,,,,,
MAPK1,,,,,RNF220,,,,,,,
C22orf13,,,,,DPP8,,,,,,,
TUG1,,,,,SUZ12,,,,,,,
TBC1D22A,,,,,SAMD4A,,,,,,,
NPTXR,,,,,CDH11,,,,,,,
SGSM1,,,,,ANAPC7,,,,,,,
CDC42,,,,,SLC44A1,,,,,,,
LOC100131234,,,,,NFATC2,,,,,,,
SIPA1L2,,,,,DGKA,,,,,,,
MGAT5,,,,,PRKAR1A,,,,,,,
RNF144A,,,,,SIPA1L2,,,,,,,
LOC401164,,,,,AGAP2,,,,,,,
CDC5L,,,,,KCNMA1,,,,,,,
PKHD1,,,,,MIER3,,,,,,,
SND1,,,,,PSMC2,,,,,,,
INTS4,,,,,TFCP2L1,,,,,,,
RASGRF1,,,,,MEN1,,,,,,,
OR1E1,,,,,DNAJC6,,,,,,,
C20orf43,,,,,CCT4,,,,,,,
KIAA0040,,,,,PPP1R12A,,,,,,,
NXPH1,,,,,ADD2,,,,,,,
PTPN2,,,,,GRM7,,,,,,,
LOC349408,,,,,SUFU,,,,,,,
SPANXC,,,,,CSNK2A2,,,,,,,
BMP15,,,,,SARS,,,,,,,
DYNLT3,,,,,HNRNPH1,,,,,,,
ATP1B4,,,,,COG3,,,,,,,
RNF186,,,,,RAI1,,,,,,,
DHRS3,,,,,ESRP1,,,,,,,
TP53BP2,,,,,RUNX1T1,,,,,,,
PAX7,,,,,DIAPH2,,,,,,,
OPRD1,,,,,PLCL2,,,,,,,
LOC100129138,,,,,DPP9,,,,,,,
IFI44L,,,,,CPSF6,,,,,,,
ELAVL4,,,,,RUVBL2,,,,,,,
SLC35F3,,,,,NCL,,,,,,,
NEK2,,,,,CALD1,,,,,,,
NBPF7,,,,,ANKRD13C,,,,,,,
KLHL29,,,,,PPP5C,,,,,,,
GLI2,,,,,BRINP2,,,,,,,
HAAO,,,,,PNISR,,,,,,,
FHL2,,,,,MECOM,,,,,,,
FN1,,,,,INF2,,,,,,,
FAM84A,,,,,HNRNPR,,,,,,,
C2orf44,,,,,NOL6,,,,,,,
CXCR4,,,,,NCOA1,,,,,,,
HDAC4,,,,,THBS1,,,,,,,
CNTNAP5,,,,,APPBP2,,,,,,,
IL1A,,,,,ACE2,,,,,,,
CKAP2L,,,,,IVNS1ABP,,,,,,,
FAM176A,,,,,DLL1,,,,,,,
IL36B,,,,,FCHO2,,,,,,,
LRP1B,,,,,PTGS2,,,,,,,
ALLC,,,,,MAPKBP1,,,,,,,
MYADML,,,,,OSBPL6,,,,,,,
LRRFIP1,,,,,TMEM132D,,,,,,,
RAPGEF4,,,,,ST18,,,,,,,
MFSD2B,,,,,TESK1,,,,,,,
LOC100505716,,,,,SETBP1,,,,,,,
ACOXL,,,,,MAPK8IP1,,,,,,,
PUM2,,,,,FCHO1,,,,,,,
CADM2,,,,,NXF1,,,,,,,
TP63,,,,,EIF4A3,,,,,,,
GALNTL2,,,,,SOX30,,,,,,,
FGF12,,,,,DDX6,,,,,,,
SPATA16,,,,,SMU1,,,,,,,
ZBTB38,,,,,SOCS7,,,,,,,
PCDHGA2,,,,,LEMD3,,,,,,,
PCDHGA3,,,,,MYH11,,,,,,,
MIR4275,,,,,RDX,,,,,,,
TTC29,,,,,WDR43,,,,,,,
LPHN3,,,,,WIZ,,,,,,,
GRID2,,,,,GLI2,,,,,,,
FLJ20021,,,,,NLK,,,,,,,
NCRNA00290,,,,,DDX3X,,,,,,,
LOC100507266,,,,,KAT2B,,,,,,,
SORBS2,,,,,MAST3,,,,,,,
RAPGEF2,,,,,ETF1,,,,,,,
LCORL,,,,,GAB2,,,,,,,
LOC339975,,,,,AFF3,,,,,,,
SORCS2,,,,,ACVR1B,,,,,,,
C4orf19,,,,,ADNP,,,,,,,
BOD1,,,,,DKC1,,,,,,,
PRLR,,,,,RUVBL1,,,,,,,
NMUR2,,,,,ISY1-RAB43,,,,,,,
FER,,,,,ERBB2,,,,,,,
ERGIC1,,,,,FBXL20,,,,,,,
NPR3,,,,,PLK2,,,,,,,
LOC729862,,,,,ATP5A1,,,,,,,
SH3TC2,,,,,ARHGAP26,,,,,,,
DNAH5,,,,,SF1,,,,,,,
CDH18,,,,,ITPKB,,,,,,,
FSTL4,,,,,MAP4,,,,,,,
SCAND3,,,,,BCAS3,,,,,,,
LOC401242,,,,,GDA,,,,,,,
OR2J3,,,,,RELA,,,,,,,
SYTL3,,,,,TBL1XR1,,,,,,,
CEP57L1,,,,,ESCO1,,,,,,,
SGK1,,,,,PAX6,,,,,,,
C6orf155,,,,,AGPS,,,,,,,
TRIM27,,,,,ADAMTS6,,,,,,,
SAMD3,,,,,TIAL1,,,,,,,
LOC100129636,,,,,NOL4,,,,,,,
OR2J2,,,,,SCAF1,,,,,,,
PACRG,,,,,CCT5,,,,,,,
TULP4,,,,,IKBKB,,,,,,,
TMEM200A,,,,,CELF2,,,,,,,
SCAF8,,,,,SMEK1,,,,,,,
OR2B6,,,,,ZER1,,,,,,,
HIST1H3J,,,,,ATP2B3,,,,,,,
LAMA4,,,,,TAOK2,,,,,,,
LOC100506207,,,,,NFASC,,,,,,,
FLJ36031,,,,,MLLT6,,,,,,,
SYPL1,,,,,AFF2,,,,,,,
BBS9,,,,,UBQLN1,,,,,,,
NAMPT,,,,,RFX1,,,,,,,
CDK13,,,,,CCAR1,,,,,,,
STK31,,,,,CCT3,,,,,,,
ABP1,,,,,RASGRF2,,,,,,,
CREB3L2,,,,,DLG1,,,,,,,
C7orf10,,,,,PTBP1,,,,,,,
RAPGEF5,,,,,RAB3GAP2,,,,,,,
ACTB,,,,,GSK3B,,,,,,,
ARHGEF10,,,,,ZC3H12C,,,,,,,
EXT1,,,,,PI4KB,,,,,,,
PABPC1,,,,,CHUK,,,,,,,
NSMAF,,,,,WDR5,,,,,,,
SFRP1,,,,,BECN1,,,,,,,
RNF122,,,,,NPLOC4,,,,,,,
TMEM65,,,,,NOS1,,,,,,,
MTMR7,,,,,JHDM1D,,,,,,,
LOC392232,,,,,USP42,,,,,,,
KIF13B,,,,,RBM15B,,,,,,,
SUSD3,,,,,MYO16,,,,,,,
FRMD3,,,,,EGFR,,,,,,,
SLC24A2,,,,,CCT6A,,,,,,,
LOC554202,,,,,GRIA3,,,,,,,
FAM75D1,,,,,TRIM46,,,,,,,
FNBP1,,,,,GRIN2D,,,,,,,
TLE4,,,,,KIAA1549,,,,,,,
PALM2,,,,,PDGFRB,,,,,,,
IER5L,,,,,SH3KBP1,,,,,,,
C9orf93,,,,,UBN2,,,,,,,
FAM163B,,,,,ADRBK1,,,,,,,
GLIS3,,,,,CELF1,,,,,,,
BNIP3,,,,,INPP4B,,,,,,,
ZWINT,,,,,DDX1,,,,,,,
BICC1,,,,,RBM17,,,,,,,
ZNF487P,,,,,GATAD2B,,,,,,,
BTBD16,,,,,EBF3,,,,,,,
SGMS1,,,,,ASUN,,,,,,,
CCDC3,,,,,NAA15,,,,,,,
TACC2,,,,,FAM169A,,,,,,,
CTNNA3,,,,,IGF2BP1,,,,,,,
PLA2G12B,,,,,SAP130,,,,,,,
tAKR,,,,,MDM4,,,,,,,
ODZ4,,,,,CLIP3,,,,,,,
TRIM44,,,,,PRPF19,,,,,,,
GRIK4,,,,,RFWD2,,,,,,,
PDGFD,,,,,EWSR1,,,,,,,
DCDC5,,,,,PPP4R1,,,,,,,
PIWIL4,,,,,KLHL2,,,,,,,
ZDHHC13,,,,,RORB,,,,,,,
KCNQ1,,,,,SAMD4B,,,,,,,
SLC35C1,,,,,YAP1,,,,,,,
ITPR2,,,,,MEF2D,,,,,,,
RERGL,,,,,SYK,,,,,,,
MIR3974,,,,,PPP1R16B,,,,,,,
E2F7,,,,,DOCK4,,,,,,,
GRIP1,,,,,ATN1,,,,,,,
IRAK3,,,,,MAML2,,,,,,,
DYRK2,,,,,DDX4,,,,,,,
SLC2A13,,,,,OSBPL9,,,,,,,
RAP1B,,,,,PAPD5,,,,,,,
KCNA5,,,,,IQSEC1,,,,,,,
SLC38A1,,,,,NMT1,,,,,,,
ANKRD20A9P,,,,,TBL1X,,,,,,,
SLITRK5,,,,,COPG1,,,,,,,
LOC642345,,,,,ZBTB4,,,,,,,
MIR1297,,,,,PDE10A,,,,,,,
SLC46A3,,,,,MCM6,,,,,,,
TPTE2P1,,,,,CLOCK,,,,,,,
FAM194B,,,,,TTYH1,,,,,,,
COL4A2,,,,,SCML2,,,,,,,
NALCN,,,,,CREBRF,,,,,,,
ZIC5,,,,,TRAF3,,,,,,,
CLYBL,,,,,EPHB1,,,,,,,
FNDC3A,,,,,LENG8,,,,,,,
SLITRK1,,,,,ZDHHC17,,,,,,,
MBIP,,,,,FOXJ2,,,,,,,
CLEC14A,,,,,ZRSR2,,,,,,,
AKAP6,,,,,HDAC9,,,,,,,
MDGA2,,,,,PAPD7,,,,,,,
SHC4,,,,,PAK7,,,,,,,
LOC145820,,,,,MAML1,,,,,,,
PCSK6,,,,,LRP5,,,,,,,
CA12,,,,,ITGB8,,,,,,,
LOC100128714,,,,,HIPK2,,,,,,,
LOC253044,,,,,MAP3K7,,,,,,,
MIR4510,,,,,ACTR3,,,,,,,
IRF8,,,,,MYBL1,,,,,,,
LOC146336,,,,,DPYSL5,,,,,,,
USP7,,,,,USP11,,,,,,,
N4BP1,,,,,USP37,,,,,,,
SPATA22,,,,,LNPEP,,,,,,,
DNAH2,,,,,SENP2,,,,,,,
MYO1D,,,,,ISY1,,,,,,,
SOX9,,,,,ELL2,,,,,,,
RBFOX3,,,,,DAAM2,,,,,,,
WSCD1,,,,,PIK3R1,,,,,,,
ELAC2,,,,,PHF8,,,,,,,
LOC284294,,,,,TOMM70A,,,,,,,
C18orf1,,,,,ATP2A2,,,,,,,
CTIF,,,,,PLRG1,,,,,,,
ZFP161,,,,,RPS6KB1,,,,,,,
CHST9,,,,,MCMBP,,,,,,,
MYO1F,,,,,ARHGEF6,,,,,,,
TLE2,,,,,GGT7,,,,,,,
ZNF414,,,,,SMARCE1,,,,,,,
WDR88,,,,,KPNA4,,,,,,,
ZNF808,,,,,SMG5,,,,,,,
TNFSF9,,,,,INO80D,,,,,,,
TMEM91,,,,,PIAS3,,,,,,,
ZNF429,,,,,DBF4,,,,,,,
MED16,,,,,ZBTB17,,,,,,,
ADCK4,,,,,C2CD2L,,,,,,,
INSR,,,,,PPP3CA,,,,,,,
ZMYND8,,,,,DGKZ,,,,,,,
LOC339568,,,,,NDST1,,,,,,,
SIRPG,,,,,BCL9L,,,,,,,
C20orf112,,,,,NFE2L1,,,,,,,
KIF16B,,,,,XPR1,,,,,,,
C2CD2,,,,,CHTOP,,,,,,,
KRTAP11-1,,,,,MOV10,,,,,,,
GRIK1,,,,,DOCK11,,,,,,,
KCNE1,,,,,MAP3K1,,,,,,,
SEZ6L,,,,,NFATC3,,,,,,,
EFEMP1,,,,,PRDM10,,,,,,,
XIRP2,,,,,EEF1G,,,,,,,
ZNF767,,,,,ST7,,,,,,,
MCART2,,,,,FAF2,,,,,,,
C21orf37,,,,,GRIN2A,,,,,,,
RDH14,,,,,DDX21,,,,,,,
CXorf26,,,,,CACNA2D3,,,,,,,
CNTN5,,,,,RAPGEF6,,,,,,,
LRRIQ3,,,,,HDAC7,,,,,,,
SLC41A1,,,,,CDK19,,,,,,,
VRK2,,,,,SMC2,,,,,,,
LOC339807,,,,,CAMK2A,,,,,,,
NFU1,,,,,PA2G4,,,,,,,
LOC100287010,,,,,TNFSF12,,,,,,,
ACMSD,,,,,TNFSF12-TNFSF13,,,,,,,
LRRN1,,,,,FZR1,,,,,,,
TSC22D2,,,,,PIAS2,,,,,,,
ANKRD56,,,,,SNX2,,,,,,,
FLJ33360,,,,,XPOT,,,,,,,
PELO,,,,,NKD1,,,,,,,
KCNN2,,,,,CTCF,,,,,,,
DTWD2,,,,,HPN,,,,,,,
FTMT,,,,,SPTY2D1,,,,,,,
GRAMD3,,,,,MTMR12,,,,,,,
NRSN1,,,,,HSPA8,,,,,,,
HLA-DRB5,,,,,CXXC1,,,,,,,
VEGFA,,,,,CLSTN3,,,,,,,
NT5E,,,,,RPGR,,,,,,,
LOC154449,,,,,PPP6R1,,,,,,,
ADCY1,,,,,CHM,,,,,,,
HUS1,,,,,SLC39A10,,,,,,,
FZD1,,,,,CPE,,,,,,,
TFEC,,,,,RORC,,,,,,,
PLXNA4,,,,,IL6ST,,,,,,,
MTRNR2L6,,,,,KDM5C,,,,,,,
XRCC2,,,,,SRSF7,,,,,,,
LOC285889,,,,,FAM193A,,,,,,,
SOX7,,,,,AKT2,,,,,,,
EBF2,,,,,RAPGEF5,,,,,,,
C9orf123,,,,,MITF,,,,,,,
MED27,,,,,FLT1,,,,,,,
FGFR2,,,,,CDKL5,,,,,,,
CD82,,,,,CBLL1,,,,,,,
DKFZp779M0652,,,,,CADPS2,,,,,,,
GXYLT1,,,,,FNIP2,,,,,,,
KIAA0564,,,,,UBN1,,,,,,,
MZT1,,,,,TIPARP,,,,,,,
PPP2R5E,,,,,NDUFS2,,,,,,,
SNORD113-4,,,,,DDX39B,,,,,,,
RBBP8,,,,,GLG1,,,,,,,
CHST8,,,,,CYBB,,,,,,,
LYPD3,,,,,COPS4,,,,,,,
CBLN4,,,,,GMDS,,,,,,,
MICAL3,,,,,PPP2R5C,,,,,,,
MN1,,,,,EED,,,,,,,
LRIG3,,,,,SP1,,,,,,,
C3orf79,,,,,EPAS1,,,,,,,
WNT9A,,,,,ZNF777,,,,,,,
BMPR2,,,,,PSEN1,,,,,,,
C6orf170,,,,,RXRB,,,,,,,
CLDN23,,,,,PRKCD,,,,,,,
LOC100130451,,,,,ALG13,,,,,,,
PRDM1,,,,,FUT8,,,,,,,
ANKRD33,,,,,SOGA1,,,,,,,
BCL11B,,,,,ACTR3B,,,,,,,
MIR573,,,,,MEST,,,,,,,
GJD2,,,,,MAPK8IP2,,,,,,,
MIR4679-2,,,,,UBQLN4,,,,,,,
SMARCA1,,,,,PPP2R5D,,,,,,,
MAGEA4,,,,,NAV2,,,,,,,
ATP6AP2,,,,,FHOD3,,,,,,,
NYX,,,,,SRPK2,,,,,,,
MIR320D2,,,,,RIC8B,,,,,,,
VCX,,,,,TBX18,,,,,,,
MAOA,,,,,MAPK14,,,,,,,
PNMA5,,,,,CDH8,,,,,,,
NXF2B,,,,,DDX5,,,,,,,
OR13H1,,,,,GSK3A,,,,,,,
ZNF711,,,,,SHROOM4,,,,,,,
PRDX4,,,,,PARP6,,,,,,,
FAM155B,,,,,UFD1L,,,,,,,
XKRX,,,,,FAF1,,,,,,,
MAGEB16,,,,,ADAM17,,,,,,,
EGFL6,,,,,ZNF644,,,,,,,
SH2D1A,,,,,TOP2B,,,,,,,
MIR221,,,,,TTBK1,,,,,,,
PABPC5,,,,,MTMR4,,,,,,,
CDX4,,,,,METTL16,,,,,,,
FAM47A,,,,,PPP1R9B,,,,,,,
NAP1L3,,,,,SYMPK,,,,,,,
HTR2C,,,,,CORO1C,,,,,,,
FTHL17,,,,,HUNK,,,,,,,
PAGE4,,,,,PSMD12,,,,,,,
VMA21,,,,,PDZD8,,,,,,,
LOC158696,,,,,KLC2,,,,,,,
LUZP4,,,,,ATP6V0A1,,,,,,,
SMEK3P,,,,,PPP1CB,,,,,,,
MTM1,,,,,FRMPD4,,,,,,,
KLHL13,,,,,U2AF2,,,,,,,
MIR506,,,,,TNIK,,,,,,,
POU3F4,,,,,LGI1,,,,,,,
SERPINA7,,,,,FBXW11,,,,,,,
DCAF12L1,,,,,PHC1,,,,,,,
SLC6A14,,,,,ZC3H11A,,,,,,,
FMR1-AS1,,,,,MSI1,,,,,,,
SNX12,,,,,CCNK,,,,,,,
RP1-177G6.2,,,,,GLTSCR1,,,,,,,
TMEM35,,,,,KIAA0907,,,,,,,
MAGEB18,,,,,EIF4A2,,,,,,,
MIR4330,,,,,WEE1,,,,,,,
DUSP21,,,,,ACTR2,,,,,,,
ARAF,,,,,HMBOX1,,,,,,,
CNKSR2,,,,,SPAST,,,,,,,
OPHN1,,,,,GABRB3,,,,,,,
SYTL5,,,,,XAB2,,,,,,,
SLITRK2,,,,,ILF2,,,,,,,
KAL1,,,,,SLC6A3,,,,,,,
CTPS2,,,,,ZNF800,,,,,,,
SLITRK4,,,,,TKTL1,,,,,,,
CENPVL1,,,,,LBR,,,,,,,
ANKRD58,,,,,PIAS1,,,,,,,
P2RY4,,,,,REV1,,,,,,,
CT47B1,,,,,MAP2K4,,,,,,,
LHFPL1,,,,,FMNL2,,,,,,,
MIR4770,,,,,NRF1,,,,,,,
LOC100132163,,,,,SIM1,,,,,,,
ZNF75D,,,,,GRIPAP1,,,,,,,
MIR223,,,,,TTBK2,,,,,,,
CXorf21,,,,,TRAF6,,,,,,,
MIR2114,,,,,DCAF6,,,,,,,
MID2,,,,,IL1RAPL1,,,,,,,
TCEAL6,,,,,AFTPH,,,,,,,
LPHN2,,,,,RBMS1,,,,,,,
GADD45A,,,,,IGSF1,,,,,,,
LRRC7,,,,,FAM49B,,,,,,,
TBX15,,,,,ERC2,,,,,,,
CPT2,,,,,XRCC6,,,,,,,
TRIT1,,,,,CPEB4,,,,,,,
KAZN,,,,,CAMKV,,,,,,,
ZNF648,,,,,MEPCE,,,,,,,
LOC100505832,,,,,SMARCB1,,,,,,,
VAMP4,,,,,SMURF1,,,,,,,
PTBP2,,,,,NCOA5,,,,,,,
RGS7,,,,,WDR37,,,,,,,
LOC731275,,,,,CTC-432M15.3,,,,,,,
NEK7,,,,,CSNK1G3,,,,,,,
ESRRG,,,,,NCDN,,,,,,,
AMPD2,,,,,EIF2B5,,,,,,,
CRYZ,,,,,CENPI,,,,,,,
KCNK1,,,,,SRP54,,,,,,,
BARHL2,,,,,KLHDC10,,,,,,,
AJAP1,,,,,EXOC5,,,,,,,
NLRP3,,,,,ACHE,,,,,,,
GPA33,,,,,ETV1,,,,,,,
HOOK1,,,,,BMPR2,,,,,,,
TMEM61,,,,,SYVN1,,,,,,,
RRAGC,,,,,CNTN4,,,,,,,
CAPN8,,,,,DLG4,,,,,,,
CD1B,,,,,DPYSL3,,,,,,,
SEC16B,,,,,TRAF2,,,,,,,
SH3YL1,,,,,ZNF445,,,,,,,
RETSAT,,,,,PRPF38A,,,,,,,
SP3,,,,,IPO11,,,,,,,
GALNT14,,,,,HNRNPH3,,,,,,,
LOC727982,,,,,GTF2IRD1,,,,,,,
RAD51AP2,,,,,CSTF3,,,,,,,
LRRTM4,,,,,STAU1,,,,,,,
TWIST2,,,,,ACLY,,,,,,,
KLF11,,,,,MET,,,,,,,
PTMA,,,,,SFMBT2,,,,,,,
MAP2,,,,,CELF5,,,,,,,
GPR45,,,,,DROSHA,,,,,,,
SATB2,,,,,DCTN2,,,,,,,
SCN3A,,,,,CRTC2,,,,,,,
RPRM,,,,,DHX40,,,,,,,
REG3G,,,,,RP11-1055B8.7,,,,,,,
ASNSD1,,,,,USP5,,,,,,,
INSIG2,,,,,SREBF2,,,,,,,
TMEM18,,,,,EBF1,,,,,,,
LOC1720,,,,,MAN1A2,,,,,,,
RHOQ,,,,,SENP5,,,,,,,
EML4,,,,,UNC5A,,,,,,,
DIRC3,,,,,RAB11FIP3,,,,,,,
PABPC1P2,,,,,CHAF1A,,,,,,,
LOC389033,,,,,TOP2A,,,,,,,
TSSC1,,,,,LPCAT4,,,,,,,
Mar-07,,,,,GTPBP1,,,,,,,
ADD2,,,,,AUTS2,,,,,,,
MYCNOS,,,,,MAPKAPK2,,,,,,,
SULT1C3,,,,,FOXP2,,,,,,,
EPHA4,,,,,USP33,,,,,,,
UBE2E3,,,,,INCENP,,,,,,,
IGSF11,,,,,QRICH1,,,,,,,
BOC,,,,,KCNH2,,,,,,,
PVRL3,,,,,NRP1,,,,,,,
TGFBR2,,,,,LTBP3,,,,,,,
GBE1,,,,,PCGF5,,,,,,,
LOC285370,,,,,CNOT4,,,,,,,
TRNT1,,,,,PPM1G,,,,,,,
SOX14,,,,,SENP3,,,,,,,
LOC100287227,,,,,CTDSPL2,,,,,,,
CTNNB1,,,,,C7orf55-LUC7L2,,,,,,,
ZBBX,,,,,RUNX2,,,,,,,
IQCJ-SCHIP1,,,,,RBM22,,,,,,,
ARPP21,,,,,DACH1,,,,,,,
TM4SF18,,,,,SLC17A7,,,,,,,
MITF,,,,,R3HDM2,,,,,,,
CMC1,,,,,TXLNA,,,,,,,
GHSR,,,,,HOMER1,,,,,,,
ALCAM,,,,,GTF2H1,,,,,,,
FAM43A,,,,,JAK1,,,,,,,
MME,,,,,SFMBT1,,,,,,,
SHQ1,,,,,RNF8,,,,,,,
CPB1,,,,,JAK3,,,,,,,
LOC647107,,,,,XRN1,,,,,,,
UBE2E1,,,,,SEMA4D,,,,,,,
VWA5B2,,,,,BZW2,,,,,,,
VEGFC,,,,,CCNT1,,,,,,,
CDKN2AIP,,,,,ASH2L,,,,,,,
TIGD4,,,,,FBLN5,,,,,,,
C4orf32,,,,,ACSL4,,,,,,,
ARAP2,,,,,SCN5A,,,,,,,
CETN4P,,,,,NAP1L4,,,,,,,
LOC100506013,,,,,PSMC1,,,,,,,
MIR572,,,,,PPP6R3,,,,,,,
COQ2,,,,,ZNRF3,,,,,,,
PDHA2,,,,,CDK16,,,,,,,
ZNF330,,,,,ENAH,,,,,,,
HELT,,,,,PHF19,,,,,,,
CCRN4L,,,,,FYN,,,,,,,
GYPE,,,,,ZNF24,,,,,,,
ANXA10,,,,,ATRNL1,,,,,,,
SHISA3,,,,,SEC61A1,,,,,,,
HERC6,,,,,PTPN2,,,,,,,
NAF1,,,,,LMNB2,,,,,,,
HSP90AB2P,,,,,MLLT3,,,,,,,
TACR3,,,,,AMMECR1L,,,,,,,
GLRA3,,,,,GRHL3,,,,,,,
PCDH18,,,,,WTAP,,,,,,,
ESM1,,,,,ATP1B1,,,,,,,
ERBB2IP,,,,,DPYSL2,,,,,,,
SUB1,,,,,NKAP,,,,,,,
RGMB,,,,,PSMC6,,,,,,,
CCDC99,,,,,GRIA2,,,,,,,
AP3B1,,,,,SRCIN1,,,,,,,
PRDM9,,,,,PHF16,,,,,,,
EFNA5,,,,,LYN,,,,,,,
PCDHGA10,,,,,B4GALT6,,,,,,,
MAP3K1,,,,,ZNF217,,,,,,,
LMNB1,,,,,BRINP1,,,,,,,
MRPL36,,,,,ABCF2,,,,,,,
TMEM232,,,,,MDM2,,,,,,,
EBF1,,,,,ADAM23,,,,,,,
MSX2,,,,,DVL3,,,,,,,
LOC100133050,,,,,AP3B1,,,,,,,
IRX2,,,,,GATAD2A,,,,,,,
IRX1,,,,,TRAM2,,,,,,,
PLK2,,,,,PRKAR2B,,,,,,,
C5orf64,,,,,CTNND1,,,,,,,
SLCO4C1,,,,,HSP90AB1,,,,,,,
ERAP2,,,,,BMS1,,,,,,,
NBPF22P,,,,,RASGRP2,,,,,,,
NHLRC1,,,,,PKD2,,,,,,,
EPHA7,,,,,ARHGEF17,,,,,,,
MARCKS,,,,,MDGA1,,,,,,,
C6orf203,,,,,BAI2,,,,,,,
CDYL,,,,,ETV6,,,,,,,
C6orf118,,,,,FGD6,,,,,,,
LOC100507254,,,,,CCDC22,,,,,,,
POU3F2,,,,,PORCN,,,,,,,
MBOAT1,,,,,EDC4,,,,,,,
ARID1B,,,,,GNB1,,,,,,,
SPACA1,,,,,MBTD1,,,,,,,
FAM46A,,,,,NRG2,,,,,,,
NR2E1,,,,,TAF3,,,,,,,
FRK,,,,,PRPF39,,,,,,,
FLJ23152,,,,,MAP3K5,,,,,,,
GCLC,,,,,TBK1,,,,,,,
FOXQ1,,,,,DCAF15,,,,,,,
FKBP5,,,,,RBBP5,,,,,,,
BVES,,,,,ABCB7,,,,,,,
SLC17A5,,,,,E2F8,,,,,,,
CDKAL1,,,,,PRDM2,,,,,,,
PAQR8,,,,,EYA3,,,,,,,
HTR1B,,,,,MTMR3,,,,,,,
WDR27,,,,,CYFIP1,,,,,,,
NDUFA4,,,,,GOLGA2,,,,,,,
SGCE,,,,,IKZF3,,,,,,,
VWC2,,,,,AR,,,,,,,
KIAA0895,,,,,INPP4A,,,,,,,
ACN9,,,,,VCL,,,,,,,
GNAT3,,,,,PRMT5,,,,,,,
ISPD,,,,,RPL5,,,,,,,
SLC37A3,,,,,FCHSD2,,,,,,,
MICALL2,,,,,KIAA0232,,,,,,,
EPHB6,,,,,CYLD,,,,,,,
FOXK1,,,,,ZNF618,,,,,,,
INSIG1,,,,,PTPRZ1,,,,,,,
LOC407835,,,,,HGF,,,,,,,
CCDC129,,,,,WARS,,,,,,,
CDHR3,,,,,CCZ1,,,,,,,
MACC1,,,,,CCNA2,,,,,,,
MIR148A,,,,,SALL1,,,,,,,
POM121L12,,,,,CPEB3,,,,,,,
KLHL7,,,,,ANKFY1,,,,,,,
