,GSM329677.CEL,GSM329679.CEL,GSM329681.CEL,GSM329683.CEL,GSM329686.CEL,GSM329689.CEL,GSM329692.CEL,GSM329694.CEL,GSM329697.CEL,GSM329700.CEL,GSM329703.CEL,GSM329704.CEL,GSM329707.CEL,GSM329709.CEL,GSM329711.CEL,GSM329714.CEL,GSM329660.CEL,GSM329663.CEL,GSM329664.CEL,GSM329666.CEL,GSM329667.CEL,GSM329670.CEL,GSM329672.CEL,GSM329674.CEL
Irinotecan Pathway (Wikipathways),1,0,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0
Jak-STAT signaling pathway (KEGG),-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Keap1-Nrf2 Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kit Receptor Signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kit Receptor up reg. targets (Netpath),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1
Leishmaniasis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leukocyte transendothelial migration (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linoleic acid metabolism (KEGG),-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
Long-term depression (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Long-term potentiation (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lysine degradation (KEGG),1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Lysosome (KEGG),-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Malaria (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK Cascade (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK signaling pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matrix Metalloproteinases (Wikipathways),0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1
Maturity onset diabetes of the young (KEGG),1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
Measles (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanogenesis (KEGG),1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1
Melanoma (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Membrane Trafficking (Reactome),0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Metabolic pathways (KEGG),-1,0,0,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,0,0,-1,0,0
Metabolism of amino acids and derivatives (Reactome),-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,1,0
Metabolism of carbohydrates (Reactome),-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1
Metabolism of lipids and lipoproteins (Reactome),1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Metabolism of nitric oxide (Reactome),-1,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Metabolism of nucleotides (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Metabolism of porphyrins (Reactome),-1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,0,0
Metabolism of proteins (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Metabolism of RNA (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Metabolism of vitamins and cofactors (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metabolism of xenobiotics by cytochrome P450 (KEGG),0,1,1,1,0,0,0,0,0,0,-1,0,1,0,-1,0,0,-1,1,0,0,-1,0,-1
metapathway biotransformation (Wikipathways),0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,1,0,-1,0,0
Methylation Pathways (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MicroRNAs in cardiomyocyte hypertrophy (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral absorption (KEGG),0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
miRNA regulation of DNA Damage Response (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miRNAs involved in DDR (Wikipathways),0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,0,0,-1,-1
Mismatch repair (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mismatch repair (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitochondrial Gene Expression (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitochondrial LC-Fatty Acid Beta-Oxidation (Wikipathways),1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0
Monoamine GPCRs (Wikipathways),0,1,0,-1,-1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Monoamine Transport (Wikipathways),1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mRNA Processing (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mRNA processing (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mRNA surveillance pathway (KEGG),-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1
mTOR signaling pathway (KEGG),0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucin type O-Glycan biosynthesis (KEGG),0,-1,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,-1,0
Muscle contraction (Reactome),0,-1,1,1,1,1,1,1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,0,0,0,-1,-1
Myogenesis (Reactome),1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
Myometrial Relaxation and Contraction Pathways (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-Glycan biosynthesis (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Natural killer cell mediated cytotoxicity (KEGG),-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Neuroactive ligand-receptor interaction (KEGG),0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Neurotrophin signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Nicotinate and nicotinamide metabolism (KEGG),-1,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nicotine Activity on Dopaminergic Neurons (Wikipathways),1,1,-1,-1,0,-1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Nicotine metabolism (Wikipathways),0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nitrogen metabolism (KEGG),0,1,0,-1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1
NLR proteins (Wikipathways),0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1
NOD pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOD-like receptor signaling pathway (KEGG),-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1
Non-homologous end joining (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Non-homologous end-joining (KEGG),-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
Non-small cell lung cancer (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notch down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notch signaling pathway (KEGG),1,0,0,0,0,1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1
Notch Signaling Pathway (Wikipathways),1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
Notch up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Receptors (Wikipathways),1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,1,0,0,0
Nuclear receptors in lipid metabolism and toxicity (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nucleotide excision repair (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nucleotide GPCRs (Wikipathways),0,0,1,1,0,1,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,-1,0,-1
Nucleotide Metabolism (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Olfactory transduction (KEGG),0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Carbon Metabolism (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1
One carbon pool by folate (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oocyte meiosis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opioid Signalling (Reactome),1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Osteoblast Signaling (Wikipathways),1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1
Osteoclast differentiation (KEGG),-1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
Osteoclast Signaling (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteopontin Signaling (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Other glycan degradation (KEGG),-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Other types of O-glycan biosynthesis (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ovarian Infertility Genes (Wikipathways),0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,-1,0
Oxidative phosphorylation (KEGG),-1,1,0,-1,-1,-1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1
Oxidative phosphorylation (Wikipathways),-1,1,0,-1,-1,-1,-1,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,1
Oxidative Stress (Wikipathways),-1,-1,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,-1,0,0,-1,-1
p38 MAPK Signaling Pathway (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1
p53 signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreatic cancer (KEGG),0,-1,0,0,0,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1
Pancreatic secretion (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pantothenate and CoA biosynthesis (KEGG),-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Parkinson's disease (KEGG),-1,1,0,-1,-1,-1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
Pathogenic Escherichia coli infection (KEGG),-1,0,0,0,0,1,0,0,0,0,1,0,0,-1,-1,0,-1,0,-1,-1,-1,0,0,-1
Pathways in cancer (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentose and glucuronate interconversions (KEGG),0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1
Pentose phosphate pathway (KEGG),-1,1,1,-1,-1,0,0,0,1,0,-1,0,1,1,0,-1,-1,1,0,1,0,0,0,0
Pentose Phosphate Pathway (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Peptide GPCRs (Wikipathways),-1,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1
Peroxisome (KEGG),0,0,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0
Phagosome (KEGG),-1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,-1
"Phase I, non P450 (Wikipathways)",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,-1,1,0
Phenylalanine metabolism (KEGG),0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Phosphatidylinositol signaling system (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phototransduction (KEGG),0,0,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0
Physiological and Pathological Hypertrophy  of the Heart (Wikipathways),0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0
Porphyrin and chlorophyll metabolism (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
PPAR signaling pathway (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
Primary bile acid biosynthesis (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Primary immunodeficiency (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Prion diseases (KEGG),0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0
Progesterone-mediated oocyte maturation (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propanoate metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Prostaglandin Synthesis and Regulation (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostate cancer (KEGG),0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
Proteasome (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Proteasome Degradation (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Protein digestion and absorption (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protein export (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Protein processing in endoplasmic reticulum (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1
Proteins and DNA Sequences in Cardicac Structures (Wikipathways),0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0
Proximal tubule bicarbonate reclamation (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Purine metabolism (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrimidine metabolism (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pyruvate metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Pyruvate metabolism and Citric Acid (TCA) cycle (Reactome),0,1,0,-1,-1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1
Regulation of actin cytoskeleton (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulation of Actin Cytoskeleton (Wikipathways),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulation of autophagy (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Regulation of beta-cell development (Reactome),0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Regulation of toll-like receptor signaling pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulatory RNA pathways (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Renal cell carcinoma (KEGG),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Renin-angiotensin system (KEGG),0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (Reactome)",-1,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0
Retinol metabolism (KEGG),-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rheumatoid arthritis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riboflavin metabolism (KEGG),-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,0,-1,0
Ribosome (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ribosome biogenesis in eukaryotes (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RIG-I-like receptor signaling pathway (KEGG),0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RNA degradation (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RNA polymerase (KEGG),-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1
RNA transport (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Salivary secretion (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sandbox Pathway (Wikipathways),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenium Metabolism and Selenoproteins (Wikipathways),-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
Selenium Pathway (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Selenocompound metabolism (KEGG),0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senescence and Autophagy (Wikipathways),0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,-1,0,0,-1,-1
Serotonin HTR1 Group and FOS Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Serotonin Receptor 4/6/7 and NR3C Signaling (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1
Serotonin Transporter Activity (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigellosis (KEGG),-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
SIDS Susceptibility Pathways (Wikipathways),0,0,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1
Signal Transduction of S1P Receptor (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signaling by BMP (Reactome),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Signaling by EGFR (Reactome),0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1
Signaling by FGFR (Reactome),1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
Signaling by GPCR (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Signaling by Insulin receptor (Reactome),0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0
Signaling by Notch (Reactome),0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0
Signaling by PDGF (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signaling by Rho GTPases (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signaling by TGF beta (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signaling by VEGF (Reactome),1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signaling by Wnt (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
Signaling in Immune system (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signaling of Hepatocyte Growth Factor Receptor (Wikipathways),-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,1,0,0
Signalling by NGF (Reactome),0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
Small cell lung cancer (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Ligand GPCRs (Wikipathways),0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SNARE interactions in vesicular transport (KEGG),0,1,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Sphingolipid metabolism (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingolipid Metabolism (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spliceosome (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SREBP signalling (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Staphylococcus aureus infection (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starch and sucrose metabolism (KEGG),-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
